GID,starID,RA,DEC,l,b,p,e_p,evpa,e_evpa,FilterID,origin,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,which_polygon
3940602742842370176,10567,198.9903442233024,21.38170128472897,348.4402826607952,81.98625670010789,0.0018,0.0002,86.0,3.0,0,external_panopoulou_2025,150.57079,149.85542,151.14096,150.40343,149.81218,151.14912,upper
3942259878663841152,6847,193.006057216531,20.16965730945409,304.067472565521,83.04011212396769,0.0019,0.0003,73.0,4.5,0,external_panopoulou_2025,134.36191,133.98007,134.84569,134.5277,134.11302,134.9553,upper
3942650755047529856,10456,193.44191807791717,20.65084836193759,307.75259958859533,83.50077827793653,0.0015,0.0002,87.0,4.0,0,external_panopoulou_2025,362.7035,360.02066,365.4604,361.55286,358.10065,365.53204,upper
3942757338955937408,6914,193.32370384330227,21.244858547528302,307.1459067314309,84.10140687830709,0.00012,0.00043,-78.0,60.8,0,external_panopoulou_2025,82.69077,80.63494,84.940834,81.97303,79.94603,84.51828,upper
3942863716706494080,6936,193.6580027429304,21.585081707128797,310.57621819215393,84.40935953396932,0.00129,0.00015,77.1,3.3,0,external_panopoulou_2025,251.64215,246.91733,256.28607,252.08682,247.0869,257.65067,upper
3943094476709294336,10566,198.1143677342611,20.841565792211703,341.40443752567603,82.09216518108533,0.0019,0.0003,83.0,5.0,0,external_panopoulou_2025,115.0786,114.81704,115.30895,115.057236,114.781944,115.2778,upper
3943394845252502144,6911,196.58817276955995,21.153192347741985,333.375601368295,83.12529985142996,0.0002,0.0003,32.0,36.9,0,external_panopoulou_2025,49.185196,49.098133,49.26758,49.16299,49.06884,49.247124,upper
3944129495108278912,10558,195.06468254829204,21.554383742983784,323.21881678862576,84.07551062985509,,0.0002,,,0,external_panopoulou_2025,72.15847,71.99139,72.27605,72.13406,72.025696,72.25861,upper
3944170417556586880,10559,196.264419242409,21.493984909873497,332.4939512738719,83.56877925139723,0.0019,0.0004,-76.0,6.0,0,external_panopoulou_2025,208.35495,207.59059,209.1421,208.60677,207.74998,209.5007,upper
3946262616384600448,6714,186.88771450013172,17.834233148083452,271.0371793706822,79.19624107294256,0.0009,0.00035,9.4,11.0,0,external_panopoulou_2025,235.88173,234.24835,237.62515,235.93207,234.27675,237.26172,upper
