GID,starID,RA,DEC,l,b,p,e_p,evpa,e_evpa,FilterID,origin,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
3899061681717047936,28576,178.93039339861744,6.862713964137979,267.2695112981491,65.79918948695071,,0.0005,,,0,external_panopoulou_2025,317.84283,315.9344,319.24976,318.21448,316.63663,319.82172
3906091752906395392,28578,181.0286024597285,9.698541345647229,268.0591618997598,69.30086480388876,,0.00026,,,0,external_panopoulou_2025,294.9903,292.7628,298.038,294.8366,292.12534,297.64767
3906535027891367040,48770,183.30470416184707,10.819032667163745,272.23351770177874,71.37570884468933,2e-05,1.1e-05,72.7,14.5,20,external_panopoulou_2025,36.54789,36.516968,36.580124,36.549053,36.515972,36.588085
3911956925886262784,28555,178.41974314986447,8.572232281497461,263.8851730470908,66.95720023101264,0.0017,0.00049,58.0,7.0,0,external_panopoulou_2025,273.36505,271.8418,275.14053,273.43008,271.71405,275.14868
3912382093288447616,28542,178.53297159561322,9.892686678079654,262.1242311523358,68.09884435965343,0.0016,0.00051,66.0,9.0,0,external_panopoulou_2025,246.73904,244.91621,248.65668,246.87984,244.40857,249.22256
3912991497608085120,28512,176.0133497182429,10.336877522575302,256.3354064002411,66.89545316214377,0.0009,0.00022,25.0,6.0,0,external_panopoulou_2025,255.08813,253.71669,256.38235,255.28534,253.96103,257.40875
3916427157911605376,28475,174.1779388090721,11.669730961566536,250.69684886495884,66.62135258080713,0.0006,0.00017,27.0,7.0,0,external_panopoulou_2025,242.64633,240.13474,244.73177,242.17197,240.0512,244.48322
3917713384653237248,28472,175.1488204288846,12.806114308420415,250.27076941056265,68.09264779938269,0.0013,0.00021,45.0,5.0,0,external_panopoulou_2025,200.33311,195.00644,206.7545,198.33307,191.94316,204.95967
3919939238568799616,6476,180.2645876427815,13.008253816943036,260.60400046901276,71.60799323287573,0.0014,0.00058,-40.6,11.7,0,external_panopoulou_2025,251.41457,247.59198,254.49329,251.41362,247.29642,254.9892
3920790093065919104,11501,181.89957175000745,13.516943255955974,263.80507921048894,72.9660292361908,0.0009,0.0002,42.0,8.0,0,external_panopoulou_2025,242.63141,241.4301,243.70036,242.54944,241.27283,243.98625
3921170691591853056,11490,184.83416295686447,14.541417843704286,270.6111599664918,75.35931946851794,0.0013,0.0004,28.0,8.0,0,external_panopoulou_2025,265.1227,262.9494,267.0338,264.9919,262.79572,266.9808
3921394442208127232,6566,184.0004067103691,14.89892987587069,267.1601187353784,75.25026637463229,0.0003,0.0012,-64.0,63.4,0,external_panopoulou_2025,65.01666,64.59353,65.4942,64.992836,64.52743,65.47809
3921428565724860160,6584,184.4345726215761,15.144510043875044,268.05272758924826,75.68151987184505,0.001,0.00032,52.0,9.1,0,external_panopoulou_2025,189.07533,187.83452,190.23146,188.76927,187.58707,189.6854
3921527727929147264,11511,181.29042116298615,13.472895501559286,262.27299662903596,72.58264226435675,0.0012,0.0003,43.0,8.0,0,external_panopoulou_2025,551.0271,542.9137,557.0734,551.6934,545.4948,558.0982
3922905965754421120,11539,177.72185449364792,13.587392627710466,253.68784766605305,70.42198610798796,0.0014,0.0002,65.0,4.0,0,external_panopoulou_2025,161.28252,160.7573,161.7761,161.14172,160.56532,161.63016
3923191422165480448,6531,177.16081290591993,14.284247166272074,251.06075274854794,70.5284269883353,0.0003,0.00032,-45.0,28.1,0,external_panopoulou_2025,67.16695,66.72041,67.67061,67.12887,66.681366,67.61111
3923275470380802304,11528,178.22241492616868,13.744228193491136,254.4237455364479,70.87110370520705,0.0007,0.0001,40.0,5.0,0,external_panopoulou_2025,328.09454,323.93414,331.75778,326.11285,323.23224,329.51254
3923309692680224896,11500,178.46401724071018,14.02961404083988,254.34458461581164,71.23960581435311,0.0014,0.0005,15.0,9.0,0,external_panopoulou_2025,126.41143,123.626175,129.91347,123.94288,121.34318,126.686
3923318110816149120,11515,178.6390068988038,14.151199045090603,254.46855309259902,71.44458517025693,0.0006,0.0002,10.0,9.0,0,external_panopoulou_2025,81.00303,80.87341,81.1466,80.966255,80.78874,81.125534
3923492761366263040,11522,178.15922606561523,14.21480507550011,253.2851542439381,71.16787891555617,0.0012,0.0003,64.0,6.0,0,external_panopoulou_2025,146.70056,146.23788,147.18854,146.71312,146.30519,147.11067
3923535848478154368,11521,178.10310206381217,14.458645358864231,252.63180090367203,71.30294911302161,0.0016,0.0003,46.0,4.0,0,external_panopoulou_2025,935.9332,751.64185,1228.6761,700.707,640.83514,785.0832
3923677135722334336,11514,178.8461997906847,15.111475603652767,252.77882762996938,72.27264147263668,0.0018,0.0001,49.0,2.0,0,external_panopoulou_2025,161.33015,154.2791,168.65675,161.6323,154.70018,168.4149
3923915248709126144,11517,176.59803061855186,14.124021163901643,250.29359919473376,70.0221658311304,0.0018,0.0003,38.0,4.0,0,external_panopoulou_2025,350.26938,347.23187,353.61084,350.68854,346.7548,354.27652
3923927824372713472,28467,176.29733715080485,14.263318729638684,249.4173093719778,69.90284321149102,0.0015,0.00021,51.0,4.0,0,external_panopoulou_2025,190.1084,188.16257,191.69122,190.181,188.8032,191.61336
3924432362771582848,11509,177.27108994842857,15.231325092464534,249.16075431250223,71.25061597633487,0.0007,0.0002,63.0,9.0,0,external_panopoulou_2025,110.720985,110.00783,111.47073,110.649055,109.93132,111.37049
3924476927352571776,11505,178.19277804247474,15.436046229493073,250.5876511432176,72.04450866136033,0.0,0.0004,,,0,external_panopoulou_2025,101.26501,100.91355,101.61739,101.32141,100.974304,101.668884
3924688548980701056,11527,176.34153021311457,15.728960089233786,246.1974745492942,70.89489948820422,0.0016,0.0002,58.0,3.0,0,external_panopoulou_2025,178.38342,177.75471,179.08885,178.40732,177.75946,179.04144
3924775199945271424,11496,177.25763022979115,16.132495859706214,246.9822874450355,71.83084052183503,0.0016,0.0002,71.0,4.0,0,external_panopoulou_2025,129.91077,129.51892,130.36887,130.01952,129.53358,130.4977
3924800286849985664,6640,177.31179444015234,16.242637380215136,246.8170436625808,71.94128273007686,0.0003,0.00032,-29.0,28.1,0,external_panopoulou_2025,61.79214,61.61351,61.978313,61.869736,61.65994,62.09311
3925169894556087680,11510,179.2752461830664,15.184031052746048,253.58504400372394,72.61563371329972,0.0028,0.0002,79.0,1.0,0,external_panopoulou_2025,165.88622,165.36551,166.38524,166.0425,165.38222,166.73518
3925246860369949824,11502,178.91893523107814,15.646827758921887,251.67112673381854,72.6973822311818,0.0032,0.0002,73.0,2.0,0,external_panopoulou_2025,129.30847,125.0434,133.9982,129.2394,124.70139,134.70421
3925530774887997056,11491,181.1768797819049,16.26891660156005,255.6256343659296,74.6646099364702,0.0024,0.0003,53.0,4.0,0,external_panopoulou_2025,161.18077,160.64871,161.7959,161.16095,160.44818,161.7552
3925634747456327424,6671,182.6317265027292,16.809279468662897,258.3031894212551,75.99814024206212,0.0013,0.00032,55.0,7.0,0,external_panopoulou_2025,191.06766,187.08641,195.86383,191.3115,185.46524,196.29362
3926019404727025408,11512,178.48456518694869,15.908434490388842,250.07367132057152,72.57146632794486,0.0021,0.0002,61.0,3.0,0,external_panopoulou_2025,224.87645,223.79135,225.80067,224.65979,223.47786,225.77809
3926035141487198848,11513,178.35460499784614,15.98350394229992,249.60814996631453,72.52946669307461,0.0011,0.0002,64.0,5.0,0,external_panopoulou_2025,126.33548,126.041115,126.62848,126.36507,126.109146,126.64241
3926601527414968704,11519,179.7685299209624,17.352018202584407,249.17727756896517,74.45105129399063,0.0008,0.0004,-34.0,12.0,0,external_panopoulou_2025,244.14001,242.95557,245.30434,245.04283,243.42667,246.31987
3931534417613368448,10595,193.98793799711515,16.22774259451418,308.6447700741911,79.04938911909922,0.0008,0.0003,49.0,11.0,0,external_panopoulou_2025,317.8433,315.6316,320.25156,318.11862,315.08704,321.5077
3933113007073286272,10482,186.6244814371768,14.571973890347971,276.8557249949816,76.16486837589002,0.0008,0.0002,27.0,6.0,0,external_panopoulou_2025,268.83435,266.9348,270.77658,268.82275,267.25906,270.48212
3933474643318982016,10460,189.21235037126868,15.222803908883744,286.29474166086914,77.62079819753764,0.0016,0.0003,87.0,5.0,0,external_panopoulou_2025,654.11816,646.29767,661.66516,653.9561,647.8468,662.0171
3933512679549386624,10461,189.43872914245011,15.57576633961243,286.8587468011935,78.01836436162675,0.0015,0.0003,79.0,4.0,0,external_panopoulou_2025,420.27258,416.69168,423.4555,416.40918,412.89047,420.7435
3933748834031261824,10483,187.8460202504528,16.22067579094846,278.82792227100117,78.14323912822822,0.0021,0.0003,68.0,4.0,0,external_panopoulou_2025,435.48105,431.93048,439.28857,435.01358,431.32486,439.62973
3934385451263677568,6659,191.6615742646648,16.57775849104139,296.68366184894273,79.39132975242829,0.0002,0.00032,73.0,38.7,0,external_panopoulou_2025,93.32778,92.524025,94.2983,93.21275,92.377106,94.25239
3934494646512883072,6631,193.11435032749236,16.12242911944763,304.2142775966533,78.9916382130246,0.0002,0.00032,-56.0,38.7,0,external_panopoulou_2025,110.92041,108.55587,112.92692,110.701385,107.93606,112.826256
3934695788422370944,6683,193.0510772752133,17.07391551054429,303.9809261663078,79.94410206637583,0.0013,0.00032,58.0,7.0,0,external_panopoulou_2025,324.7846,317.74023,331.10858,325.29642,319.45312,330.76117
3935130748348712832,10592,189.7879026688024,16.479823280170343,287.3418839907713,78.9778843992495,0.0011,0.0002,68.0,6.0,0,external_panopoulou_2025,98.14963,97.7289,98.46435,98.150955,97.805855,98.49324
3935409852503497600,6684,189.2428748001843,17.089457101211003,283.7631742959715,79.41884140219013,0.0022,0.0002,76.0,2.6,0,external_panopoulou_2025,171.85818,169.10397,174.56325,171.96861,169.29175,174.50429
3935474826768615936,10484,189.7581349052605,17.43717232629993,285.824081830281,79.89442548766141,0.0017,0.0002,66.0,2.0,0,external_panopoulou_2025,273.33655,271.57596,274.81262,273.2564,271.7109,274.8126
3935966136667526272,10446,190.0930565997092,18.33996569686603,286.1881436250807,80.84989585764767,0.001,0.0002,70.0,7.0,0,external_panopoulou_2025,399.37448,390.3027,409.04007,387.02548,379.9347,395.45123
3937361863600610560,6643,194.92890899100504,16.287310056823454,313.3891715631901,78.99062451738322,0.0028,0.0007,-22.0,7.1,0,external_panopoulou_2025,698.52637,671.2329,722.0386,706.58325,686.10065,728.6904
3938234600954772608,10560,196.4314170880693,18.53836268435251,324.62035406062574,80.80260696272185,0.002,0.0002,83.0,3.0,0,external_panopoulou_2025,143.0755,142.23187,143.8282,142.96205,142.16528,143.83102
3939343389711719808,10571,200.11293912521225,19.690938819307068,346.2641829495037,80.02428719764634,0.0017,0.0004,77.0,7.0,0,external_panopoulou_2025,143.16064,142.8774,143.4448,143.17215,142.75017,143.60008
3939784018997099904,6824,199.13387829209356,19.785421332335048,342.323327990263,80.67416977669502,0.0013,0.0002,-87.0,4.4,0,external_panopoulou_2025,94.80236,93.79085,95.973564,94.98691,93.85426,95.91216
3939785599545548800,10568,199.1847417767847,19.815294765021093,342.6700077730459,80.66917897852211,0.0008,0.0002,-82.0,7.0,0,external_panopoulou_2025,93.10776,92.76234,93.401535,93.14232,92.77476,93.459175
