#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_81         2460830.38260   0.00334   0.00379  -34.15   61.44  0.00124  0.00374 -0.00310  0.00380  1038.33  1084.19  1038.73   983.05  1088.79  1028.30   987.33  1027.82
Mark_81         2460830.38291   0.00589   0.00368  -74.66   23.88 -0.00507  0.00368 -0.00301  0.00369  1037.91  1084.07  1038.22   982.75  1089.41  1028.48   988.03  1028.19
Mark_81         2460830.38321   0.00932   0.00366  -47.55   12.60 -0.00083  0.00364 -0.00929  0.00366  1038.32  1083.86  1038.86   982.63  1089.33  1028.30   988.04  1027.91
Mark_81         2460830.38352   0.01315   0.00364  -40.24    8.38  0.00218  0.00362 -0.01296  0.00364  1038.12  1084.69  1038.54   983.52  1088.75  1028.88   987.44  1028.49
Mark_81         2460830.38382   0.00453   0.00373  -56.91   61.44 -0.00183  0.00374 -0.00415  0.00373  1037.91  1083.70  1038.44   982.38  1088.79  1027.98   987.54  1027.52
Mark_81         2460830.38412   0.00744   0.00371  -53.56   17.18 -0.00219  0.00370 -0.00711  0.00371  1038.62  1084.17  1039.13   982.89  1088.92  1028.78   987.50  1028.35
Mark_81         2460830.38442   0.00922   0.00367  -31.26   12.84  0.00425  0.00366 -0.00818  0.00368  1038.84  1083.69  1039.34   982.57  1089.31  1028.30   987.90  1028.04
Mark_81         2460830.38472   0.00758   0.00376  -80.30   17.05 -0.00715  0.00376 -0.00252  0.00373  1038.60  1084.17  1038.98   982.81  1089.29  1028.91   987.95  1028.48
Mark_81         2460830.38527   0.00193   0.00393   69.11   61.44 -0.00144  0.00397  0.00129  0.00389  1038.73  1083.34  1038.99   982.40  1089.04  1028.29   987.62  1027.91
Mark_81         2460830.38557   0.00922   0.00391  -75.07   13.89 -0.00799  0.00392 -0.00459  0.00387  1038.20  1083.06  1038.72   981.74  1088.63  1027.56   987.07  1027.24
