#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_26         2460829.36252   0.00263   0.00099  -89.32   11.95 -0.00263  0.00099 -0.00006  0.00097  1037.15  1081.37  1037.68   979.68  1087.41  1025.78   985.71  1025.37
Mark_26         2460829.36368   0.00316   0.00099  -85.09    9.57 -0.00312  0.00099 -0.00054  0.00097  1037.21  1081.32  1037.74   979.63  1087.50  1025.72   985.79  1025.31
Mark_26         2460829.36484   0.00381   0.00099   88.12    7.85 -0.00380  0.00099  0.00025  0.00098  1037.31  1081.36  1037.85   979.67  1087.55  1025.71   985.87  1025.30
Mark_26         2460829.36600   0.00326   0.00099   73.29    9.31 -0.00272  0.00099  0.00179  0.00098  1037.63  1081.57  1038.16   979.87  1087.84  1025.90   986.14  1025.49
Mark_26         2460829.36716   0.00221   0.00099  -80.03   14.91 -0.00208  0.00099 -0.00075  0.00098  1037.39  1081.72  1037.91   980.02  1087.62  1026.06   985.93  1025.66
Mark_26         2460829.36832   0.00455   0.00099   67.33    6.43 -0.00320  0.00099  0.00324  0.00098  1037.67  1081.64  1038.19   979.95  1087.84  1026.03   986.15  1025.63
Mark_26         2460829.36948   0.00422   0.00099   71.61    7.02 -0.00338  0.00100  0.00252  0.00099  1037.78  1081.55  1038.30   979.84  1087.98  1025.89   986.30  1025.48
Mark_26         2460829.37064   0.00242   0.00100   87.37   13.44 -0.00241  0.00100  0.00022  0.00099  1037.46  1081.63  1037.99   979.92  1087.68  1025.97   985.98  1025.57
Mark_26         2460829.37179   0.00434   0.00099   57.93    6.80 -0.00189  0.00100  0.00390  0.00099  1037.37  1081.49  1037.90   979.79  1087.65  1025.84   985.95  1025.44
Mark_76         2460830.36411   0.00385   0.00481  -55.44   61.44 -0.00137  0.00473 -0.00359  0.00482  1036.08  1083.12  1036.74   981.66  1087.39  1027.63   985.97  1027.33
Mark_76         2460830.36475   0.00179   0.00476   14.02   61.44  0.00158  0.00474  0.00084  0.00482  1036.38  1082.39  1036.96   981.12  1087.27  1026.93   985.97  1026.70
Mark_76         2460830.36538   0.00799   0.00485  -48.64   22.81 -0.00101  0.00475 -0.00793  0.00485  1036.40  1082.38  1036.99   980.98  1087.45  1026.89   986.05  1026.64
Mark_76         2460830.36602   0.00446   0.00500  -56.60   61.44 -0.00176  0.00493 -0.00410  0.00501  1036.30  1082.65  1036.94   981.37  1087.24  1027.21   985.80  1026.95
Mark_76         2460830.36666   0.00528   0.00468  -89.93   61.44 -0.00528  0.00468 -0.00001  0.00478  1036.13  1082.70  1036.72   981.36  1087.40  1027.32   986.14  1027.02
Mark_76         2460830.36730   0.01086   0.00470  -54.21   14.24 -0.00343  0.00459 -0.01031  0.00471  1036.28  1082.75  1036.90   981.41  1087.56  1027.50   986.16  1027.09
Mark_76         2460830.36803   0.00374   0.00500  -70.54   61.44 -0.00291  0.00498 -0.00235  0.00502  1036.33  1082.67  1036.93   981.41  1087.35  1027.31   985.91  1026.95
Mark_76         2460830.36867   0.00780   0.00452  -44.47   21.28  0.00014  0.00445 -0.00780  0.00452  1035.62  1082.62  1036.11   981.20  1086.72  1027.16   985.29  1026.87
Mark_76         2460830.36937   0.00118   0.00440  -48.41   61.44 -0.00014  0.00435 -0.00117  0.00440  1035.51  1082.25  1036.09   980.90  1086.65  1026.83   985.16  1026.50
Mark_76         2460830.37001   0.00654   0.00444   56.21   27.14 -0.00249  0.00444  0.00604  0.00444  1036.10  1082.91  1036.70   981.53  1087.29  1027.39   985.81  1027.08
Mark_81         2460830.38260   0.00214   0.00379    7.28   61.44  0.00207  0.00379  0.00054  0.00378  1037.61  1083.37  1038.18   981.97  1088.49  1027.72   986.98  1027.28
Mark_81         2460830.38291   0.00191   0.00373  -82.26   61.44 -0.00184  0.00373 -0.00051  0.00370  1037.55  1083.40  1038.08   981.89  1089.06  1028.05   987.52  1027.69
Mark_81         2460830.38321   0.00732   0.00369  -49.60   17.45 -0.00117  0.00372 -0.00723  0.00369  1037.80  1083.32  1038.36   981.82  1089.16  1027.83   987.65  1027.42
Mark_81         2460830.38352   0.01045   0.00363  -40.30   10.86  0.00171  0.00365 -0.01031  0.00363  1037.59  1083.97  1038.11   982.52  1088.69  1028.44   987.20  1028.08
Mark_81         2460830.38382   0.00323   0.00373  -80.12   61.44 -0.00304  0.00373 -0.00109  0.00371  1037.55  1083.05  1038.10   981.52  1088.62  1027.56   987.05  1027.09
Mark_81         2460830.38412   0.00556   0.00369  -56.19   26.26 -0.00212  0.00370 -0.00514  0.00369  1038.22  1083.70  1038.71   982.23  1088.81  1028.33   987.27  1027.93
Mark_81         2460830.38442   0.00600   0.00368  -31.82   23.19  0.00267  0.00369 -0.00538  0.00368  1038.17  1083.25  1038.65   981.75  1088.95  1028.02   987.40  1027.66
Mark_81         2460830.38472   0.00849   0.00380  -80.53   14.87 -0.00803  0.00380 -0.00276  0.00376  1038.27  1083.78  1038.83   982.31  1089.18  1028.43   987.70  1028.07
Mark_81         2460830.38527   0.00381   0.00397   84.67   61.44 -0.00375  0.00397  0.00070  0.00389  1037.80  1083.35  1038.32   981.86  1088.30  1027.99   986.79  1027.57
Mark_81         2460830.38557   0.00974   0.00390  -80.55   12.91 -0.00921  0.00390 -0.00316  0.00385  1037.73  1082.56  1038.27   981.07  1088.04  1027.10   986.49  1026.68
