#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_81         2460830.38260   0.00214   0.00379    7.28   61.44  0.00207  0.00379  0.00054  0.00378  1037.61  1083.37  1038.18   981.97  1088.49  1027.72   986.98  1027.28
Mark_81         2460830.38291   0.00191   0.00373  -82.26   61.44 -0.00184  0.00373 -0.00051  0.00370  1037.55  1083.40  1038.08   981.89  1089.06  1028.05   987.52  1027.69
Mark_81         2460830.38321   0.00732   0.00369  -49.60   17.45 -0.00117  0.00372 -0.00723  0.00369  1037.80  1083.32  1038.36   981.82  1089.16  1027.83   987.65  1027.42
Mark_81         2460830.38352   0.01045   0.00363  -40.30   10.86  0.00171  0.00365 -0.01031  0.00363  1037.59  1083.97  1038.11   982.52  1088.69  1028.44   987.20  1028.08
Mark_81         2460830.38382   0.00323   0.00373  -80.12   61.44 -0.00304  0.00373 -0.00109  0.00371  1037.55  1083.05  1038.10   981.52  1088.62  1027.56   987.05  1027.09
Mark_81         2460830.38412   0.00556   0.00369  -56.19   26.26 -0.00212  0.00370 -0.00514  0.00369  1038.22  1083.70  1038.71   982.23  1088.81  1028.33   987.27  1027.93
Mark_81         2460830.38442   0.00600   0.00368  -31.82   23.19  0.00267  0.00369 -0.00538  0.00368  1038.17  1083.25  1038.65   981.75  1088.95  1028.02   987.40  1027.66
Mark_81         2460830.38472   0.00849   0.00380  -80.53   14.87 -0.00803  0.00380 -0.00276  0.00376  1038.27  1083.78  1038.83   982.31  1089.18  1028.43   987.70  1028.07
Mark_81         2460830.38527   0.00381   0.00397   84.67   61.44 -0.00375  0.00397  0.00070  0.00389  1037.80  1083.35  1038.32   981.86  1088.30  1027.99   986.79  1027.57
Mark_81         2460830.38557   0.00974   0.00390  -80.55   12.91 -0.00921  0.00390 -0.00316  0.00385  1037.73  1082.56  1038.27   981.07  1088.04  1027.10   986.49  1026.68
