# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_26         2460829.36252     0.09   0.10   -8.04   61.44  0.00088  0.00099 -0.00025  0.00097
Mark_26         2460829.36368     0.08   0.10  -31.03   61.44  0.00038  0.00099 -0.00072  0.00097
Mark_26         2460829.36484     0.03   0.10   79.27   61.44 -0.00026  0.00099  0.00010  0.00098
Mark_26         2460829.36600     0.19   0.10   30.51   18.52  0.00090  0.00099  0.00163  0.00098
Mark_26         2460829.36716     0.17   0.10  -16.59   21.08  0.00144  0.00099 -0.00094  0.00098
Mark_26         2460829.36832     0.31   0.10   40.66    9.60  0.00047  0.00099  0.00310  0.00098
Mark_26         2460829.36948     0.24   0.10   41.65   13.34  0.00028  0.00100  0.00239  0.00099
Mark_26         2460829.37064     0.11   0.10    1.11   61.44  0.00115  0.00100  0.00004  0.00099
Mark_26         2460829.37179     0.41   0.10   32.19    7.21  0.00177  0.00100  0.00370  0.00099
Mark_76         2460830.36411     0.41   0.48  -33.91   61.44  0.00155  0.00473 -0.00380  0.00482
Mark_76         2460830.36475     0.49   0.47    3.05   61.44  0.00488  0.00474  0.00052  0.00482
Mark_76         2460830.36538     0.84   0.48  -38.04   21.10  0.00202  0.00475 -0.00816  0.00485
Mark_76         2460830.36602     0.45   0.50  -36.55   61.44  0.00131  0.00493 -0.00430  0.00501
Mark_76         2460830.36666     0.21   0.47  -88.64   61.44 -0.00215  0.00468 -0.00010  0.00478
Mark_76         2460830.36730     1.05   0.47  -46.71   14.98 -0.00063  0.00459 -0.01046  0.00471
Mark_76         2460830.36803     0.25   0.50  -42.70   61.44  0.00020  0.00498 -0.00252  0.00502
Mark_76         2460830.36867     0.86   0.45  -35.04   18.54  0.00292  0.00445 -0.00806  0.00452
Mark_76         2460830.36937     0.32   0.44  -13.20   61.44  0.00291  0.00435 -0.00144  0.00440
Mark_76         2460830.37001     0.59   0.44   41.06   61.44  0.00081  0.00444  0.00586  0.00444
Mark_81         2460830.38260     0.53   0.38    1.09   61.44  0.00534  0.00379  0.00020  0.00378
Mark_81         2460830.38291     0.15   0.37  -15.28   61.44  0.00125  0.00373 -0.00074  0.00370
Mark_81         2460830.38321     0.77   0.37  -38.13   16.35  0.00183  0.00372 -0.00747  0.00369
Mark_81         2460830.38352     1.15   0.36  -33.99    9.71  0.00432  0.00365 -0.01067  0.00363
Mark_81         2460830.38382     0.13   0.37  -39.70   61.44  0.00024  0.00373 -0.00126  0.00371
Mark_81         2460830.38412     0.54   0.37  -41.04   27.12  0.00075  0.00370 -0.00539  0.00369
Mark_81         2460830.38442     0.81   0.37  -22.75   15.29  0.00566  0.00369 -0.00576  0.00368
Mark_81         2460830.38472     0.59   0.38  -75.57   25.09 -0.00514  0.00380 -0.00283  0.00376
Mark_81         2460830.38527     0.08   0.39   68.25   61.44 -0.00056  0.00397  0.00053  0.00389
Mark_81         2460830.38557     0.66   0.39  -76.02   21.62 -0.00587  0.00390 -0.00311  0.00385
