#Filename  optimal_apeture
21_Mark_76_00_g_27.00_2025_06_03-20_53_47.fits   6.0
21_Mark_76_01_g_27.00_2025_06_03-20_54_24.fits   6.0
21_Mark_76_02_g_27.00_2025_06_03-20_55_02.fits   6.5
21_Mark_76_03_g_27.00_2025_06_03-20_55_39.fits   6.0
21_Mark_76_04_g_27.00_2025_06_03-20_56_16.fits   6.5
21_Mark_76_05_g_27.00_2025_06_03-20_56_53.fits   6.0
21_Mark_76_06_g_27.00_2025_06_03-20_57_30.fits   6.0
21_Mark_76_07_g_27.00_2025_06_03-20_58_07.fits   6.5
21_Mark_76_08_g_27.00_2025_06_03-20_58_44.fits   5.5
21_Mark_76_09_g_27.00_2025_06_03-20_59_21.fits   6.0
