#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_81         2460830.38590   0.00270   0.00206  -59.73   61.44 -0.00133  0.00209 -0.00235  0.00205  1037.27  1082.87  1037.78   982.21  1086.89  1028.15   985.97  1027.67
Mark_81         2460830.38615   0.00250   0.00204  -89.69   61.44 -0.00250  0.00204 -0.00003  0.00200  1038.23  1083.24  1038.72   982.49  1087.41  1028.23   986.50  1027.80
Mark_81         2460830.38640   0.00301   0.00198  -63.78   25.83 -0.00184  0.00201 -0.00239  0.00197  1037.62  1084.22  1038.10   983.53  1086.85  1029.01   985.92  1028.58
Mark_81         2460830.38664   0.00536   0.00207   87.68   12.37 -0.00534  0.00207  0.00043  0.00203  1038.28  1083.95  1038.80   983.23  1087.26  1028.63   986.35  1028.28
Mark_81         2460830.38696   0.00396   0.00204   -7.21   18.02  0.00383  0.00204 -0.00099  0.00200  1037.01  1083.24  1037.54   982.35  1086.05  1028.15   985.13  1027.75
Mark_81         2460830.38720   0.00575   0.00197  -35.20   10.67  0.00193  0.00200 -0.00542  0.00196  1037.56  1083.18  1038.13   982.41  1086.89  1028.16   985.99  1027.71
Mark_81         2460830.38744   0.00278   0.00198  -55.13   61.44 -0.00096  0.00200 -0.00260  0.00197  1038.28  1084.07  1038.84   983.37  1087.52  1029.06   986.62  1028.63
Mark_81         2460830.38769   0.00158   0.00203   36.89   61.44  0.00044  0.00206  0.00152  0.00202  1037.82  1084.39  1038.40   983.51  1087.19  1029.20   986.27  1028.85
Mark_81         2460830.38793   0.00344   0.00199  -62.38   21.19 -0.00196  0.00202 -0.00283  0.00197  1039.06  1083.66  1039.58   982.88  1088.06  1028.37   987.20  1027.94
Mark_81         2460830.38818   0.00159   0.00194  -48.69   61.44 -0.00020  0.00198 -0.00158  0.00194  1039.40  1083.87  1039.99   983.19  1088.36  1028.74   987.51  1028.36
