#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_26         2460829.37666   0.00035   0.00067   39.86   61.44  0.00006  0.00068  0.00034  0.00067  1036.86  1081.67  1037.39   980.56  1085.87  1026.33   984.74  1025.93
Mark_26         2460829.37738   0.00227   0.00068   62.92    9.07 -0.00133  0.00068  0.00184  0.00067  1037.04  1081.85  1037.56   980.74  1085.96  1026.51   984.82  1026.09
Mark_26         2460829.37812   0.00186   0.00068   77.61   11.64 -0.00169  0.00069  0.00078  0.00068  1036.77  1082.20  1037.30   981.10  1085.79  1026.88   984.66  1026.48
Mark_26         2460829.37885   0.00068   0.00068   69.88   61.44 -0.00052  0.00069  0.00044  0.00068  1036.80  1081.79  1037.34   980.69  1085.83  1026.48   984.69  1026.07
Mark_26         2460829.37958   0.00183   0.00069   80.11   11.94 -0.00172  0.00069  0.00062  0.00068  1037.21  1082.04  1037.74   980.94  1086.20  1026.72   985.06  1026.30
Mark_26         2460829.38031   0.00096   0.00068   67.81   61.44 -0.00069  0.00069  0.00067  0.00068  1037.24  1081.57  1037.77   980.45  1086.19  1026.25   985.06  1025.84
Mark_26         2460829.38104   0.00055   0.00067  -48.40   61.44 -0.00006  0.00069 -0.00054  0.00067  1036.77  1081.52  1037.30   980.41  1085.82  1026.15   984.67  1025.74
Mark_26         2460829.38177   0.00041   0.00068   74.02   61.44 -0.00035  0.00068  0.00022  0.00067  1036.44  1081.54  1036.97   980.43  1085.53  1026.16   984.39  1025.75
Mark_26         2460829.38250   0.00055   0.00068   10.42   61.44  0.00051  0.00069  0.00019  0.00067  1036.28  1081.38  1036.82   980.27  1085.35  1026.00   984.20  1025.60
Mark_26         2460829.38323   0.00204   0.00069   84.53   10.50 -0.00200  0.00069  0.00039  0.00068  1037.03  1081.71  1037.56   980.59  1086.10  1026.36   984.96  1025.95
Mark_76         2460830.37068   0.00706   0.00261  -19.08   11.72  0.00555  0.00261 -0.00436  0.00262  1034.75  1082.69  1035.30   981.84  1084.86  1027.55   983.97  1027.21
Mark_76         2460830.37111   0.00289   0.00267  -30.45   61.44  0.00141  0.00269 -0.00253  0.00267  1034.03  1082.10  1034.61   981.28  1084.04  1026.98   983.18  1026.70
Mark_76         2460830.37155   0.00981   0.00264  -38.98    8.12  0.00204  0.00267 -0.00959  0.00264  1034.52  1082.59  1035.04   981.73  1084.45  1027.39   983.61  1027.06
Mark_76         2460830.37198   0.00450   0.00263  -13.90   21.64  0.00398  0.00264 -0.00210  0.00261  1035.34  1082.58  1035.88   981.70  1085.18  1027.38   984.28  1027.06
Mark_76         2460830.37241   0.00394   0.00260  -47.52   25.95 -0.00035  0.00265 -0.00392  0.00260  1034.68  1082.60  1035.19   981.72  1084.62  1027.45   983.68  1027.08
Mark_76         2460830.37284   0.00717   0.00263  -31.24   11.58  0.00331  0.00265 -0.00636  0.00262  1035.01  1082.62  1035.55   981.74  1084.91  1027.33   983.98  1026.98
Mark_76         2460830.37326   0.00797   0.00263  -37.03   10.24  0.00219  0.00264 -0.00767  0.00263  1034.97  1082.32  1035.46   981.48  1084.81  1027.18   983.91  1026.81
Mark_76         2460830.37369   0.00798   0.00273  -50.66   10.67 -0.00157  0.00276 -0.00783  0.00273  1035.76  1082.94  1036.35   982.13  1085.43  1027.74   984.59  1027.41
Mark_76         2460830.37412   0.00070   0.00259   65.30   61.44 -0.00046  0.00260  0.00053  0.00258  1035.31  1082.57  1035.83   981.69  1085.09  1027.36   984.17  1027.04
Mark_76         2460830.37455   0.00969   0.00266  -33.46    8.28  0.00380  0.00267 -0.00891  0.00265  1034.33  1082.18  1034.89   981.33  1084.24  1026.92   983.36  1026.54
Mark_81         2460830.38590   0.00203   0.00206  -62.95   61.44 -0.00119  0.00208 -0.00165  0.00204  1036.78  1082.52  1037.38   981.67  1086.40  1027.75   985.49  1027.42
Mark_81         2460830.38615   0.00275   0.00203   86.24   61.44 -0.00273  0.00204  0.00036  0.00199  1037.78  1083.03  1038.34   982.13  1087.06  1028.04   986.13  1027.67
Mark_81         2460830.38640   0.00265   0.00199  -70.96   61.44 -0.00209  0.00200 -0.00163  0.00196  1037.25  1083.91  1037.80   983.00  1086.66  1028.84   985.68  1028.46
Mark_81         2460830.38664   0.00541   0.00207   85.63   12.20 -0.00535  0.00207  0.00082  0.00203  1037.93  1083.64  1038.49   982.79  1086.92  1028.36   985.97  1028.04
Mark_81         2460830.38696   0.00438   0.00203  -18.05   15.54  0.00354  0.00204 -0.00258  0.00200  1036.61  1082.99  1037.15   982.08  1085.84  1027.87   984.83  1027.51
Mark_81         2460830.38720   0.00485   0.00196  -34.95   13.11  0.00167  0.00200 -0.00455  0.00196  1037.27  1082.94  1037.80   982.05  1086.69  1027.82   985.71  1027.43
Mark_81         2460830.38744   0.00190   0.00198  -62.26   61.44 -0.00108  0.00200 -0.00157  0.00197  1037.93  1083.82  1038.45   982.92  1087.41  1028.77   986.45  1028.41
Mark_81         2460830.38769   0.00162   0.00202   48.02   61.44 -0.00017  0.00205  0.00161  0.00202  1037.33  1084.09  1037.90   983.22  1086.59  1028.99   985.66  1028.61
Mark_81         2460830.38793   0.00495   0.00201  -76.07   13.14 -0.00438  0.00202 -0.00231  0.00197  1038.85  1083.51  1039.40   982.59  1087.70  1028.17   986.74  1027.81
Mark_81         2460830.38818   0.00112   0.00196  -66.26   61.44 -0.00075  0.00199 -0.00082  0.00194  1039.07  1083.67  1039.58   982.75  1087.96  1028.49   987.00  1028.12
