#Filename  optimal_apeture
41_Mark_81_00_g_11.00_2025_06_03-21_15_42.fits   8.5
41_Mark_81_01_g_11.00_2025_06_03-21_16_03.fits   8.0
41_Mark_81_02_g_11.00_2025_06_03-21_16_25.fits   8.0
41_Mark_81_03_g_11.00_2025_06_03-21_16_46.fits   9.0
41_Mark_81_04_g_11.00_2025_06_03-21_17_13.fits   8.5
41_Mark_81_05_g_11.00_2025_06_03-21_17_34.fits   8.0
41_Mark_81_06_g_11.00_2025_06_03-21_17_55.fits   8.0
41_Mark_81_07_g_11.00_2025_06_03-21_18_16.fits   8.5
41_Mark_81_08_g_11.00_2025_06_03-21_18_37.fits   8.5
41_Mark_81_09_g_11.00_2025_06_03-21_18_59.fits   8.0
