#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_81         2460830.38590   0.00203   0.00206  -62.95   61.44 -0.00119  0.00208 -0.00165  0.00204  1036.78  1082.52  1037.38   981.67  1086.40  1027.75   985.49  1027.42
Mark_81         2460830.38615   0.00275   0.00203   86.24   61.44 -0.00273  0.00204  0.00036  0.00199  1037.78  1083.03  1038.34   982.13  1087.06  1028.04   986.13  1027.67
Mark_81         2460830.38640   0.00265   0.00199  -70.96   61.44 -0.00209  0.00200 -0.00163  0.00196  1037.25  1083.91  1037.80   983.00  1086.66  1028.84   985.68  1028.46
Mark_81         2460830.38664   0.00541   0.00207   85.63   12.20 -0.00535  0.00207  0.00082  0.00203  1037.93  1083.64  1038.49   982.79  1086.92  1028.36   985.97  1028.04
Mark_81         2460830.38696   0.00438   0.00203  -18.05   15.54  0.00354  0.00204 -0.00258  0.00200  1036.61  1082.99  1037.15   982.08  1085.84  1027.87   984.83  1027.51
Mark_81         2460830.38720   0.00485   0.00196  -34.95   13.11  0.00167  0.00200 -0.00455  0.00196  1037.27  1082.94  1037.80   982.05  1086.69  1027.82   985.71  1027.43
Mark_81         2460830.38744   0.00190   0.00198  -62.26   61.44 -0.00108  0.00200 -0.00157  0.00197  1037.93  1083.82  1038.45   982.92  1087.41  1028.77   986.45  1028.41
Mark_81         2460830.38769   0.00162   0.00202   48.02   61.44 -0.00017  0.00205  0.00161  0.00202  1037.33  1084.09  1037.90   983.22  1086.59  1028.99   985.66  1028.61
Mark_81         2460830.38793   0.00495   0.00201  -76.07   13.14 -0.00438  0.00202 -0.00231  0.00197  1038.85  1083.51  1039.40   982.59  1087.70  1028.17   986.74  1027.81
Mark_81         2460830.38818   0.00112   0.00196  -66.26   61.44 -0.00075  0.00199 -0.00082  0.00194  1039.07  1083.67  1039.58   982.75  1087.96  1028.49   987.00  1028.12
