# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_26         2460829.37666     0.39   0.07   -0.31    5.11  0.00389  0.00068 -0.00004  0.00067
Mark_26         2460829.37738     0.30   0.07   15.24    6.76  0.00256  0.00068  0.00151  0.00067
Mark_26         2460829.37812     0.21   0.07    6.51   10.30  0.00202  0.00069  0.00047  0.00068
Mark_26         2460829.37885     0.33   0.07    0.70    6.20  0.00328  0.00069  0.00008  0.00068
Mark_26         2460829.37958     0.21   0.07    4.11    9.90  0.00213  0.00069  0.00031  0.00068
Mark_26         2460829.38031     0.33   0.07    2.80    6.24  0.00325  0.00069  0.00032  0.00068
Mark_26         2460829.38104     0.39   0.07   -6.94    5.23  0.00375  0.00069 -0.00093  0.00067
Mark_26         2460829.38177     0.34   0.07   -1.38    5.89  0.00340  0.00068 -0.00016  0.00067
Mark_26         2460829.38250     0.42   0.07   -1.57    4.76  0.00422  0.00069 -0.00023  0.00067
Mark_26         2460829.38323     0.19   0.07    1.19   11.65  0.00187  0.00069  0.00008  0.00068
Mark_76         2460830.37068     0.95   0.26  -15.17    8.30  0.00821  0.00261 -0.00481  0.00262
Mark_76         2460830.37111     0.50   0.27  -17.68   19.33  0.00404  0.00269 -0.00287  0.00267
Mark_76         2460830.37155     1.09   0.26  -32.79    7.25  0.00450  0.00267 -0.00992  0.00264
Mark_76         2460830.37198     0.74   0.26   -9.96   11.12  0.00700  0.00264 -0.00254  0.00261
Mark_76         2460830.37241     0.48   0.26  -30.38   19.49  0.00234  0.00265 -0.00418  0.00260
Mark_76         2460830.37284     0.91   0.26  -23.98    8.79  0.00610  0.00265 -0.00676  0.00262
Mark_76         2460830.37326     0.95   0.26  -29.14    8.42  0.00497  0.00264 -0.00805  0.00263
Mark_76         2460830.37369     0.82   0.27  -40.60   10.36  0.00125  0.00276 -0.00809  0.00273
Mark_76         2460830.37412     0.26   0.26    2.53   61.44  0.00264  0.00260  0.00023  0.00258
Mark_76         2460830.37455     1.13   0.27  -27.83    6.99  0.00638  0.00267 -0.00934  0.00265
Mark_81         2460830.38590     0.29   0.21  -21.59   61.44  0.00210  0.00208 -0.00197  0.00204
Mark_81         2460830.38615     0.07   0.20    2.36   61.44  0.00065  0.00204  0.00005  0.00199
Mark_81         2460830.38640     0.20   0.20  -36.57   61.44  0.00059  0.00200 -0.00196  0.00196
Mark_81         2460830.38664     0.22   0.21   82.49   61.44 -0.00215  0.00207  0.00058  0.00203
Mark_81         2460830.38696     0.73   0.20  -12.21    8.37  0.00669  0.00204 -0.00304  0.00200
Mark_81         2460830.38720     0.70   0.20  -22.60    8.58  0.00493  0.00200 -0.00497  0.00196
Mark_81         2460830.38744     0.26   0.20  -24.13   61.44  0.00176  0.00200 -0.00197  0.00197
Mark_81         2460830.38769     0.28   0.20   12.88   61.44  0.00251  0.00205  0.00121  0.00202
Mark_81         2460830.38793     0.28   0.20  -56.04   28.79 -0.00105  0.00202 -0.00260  0.00197
Mark_81         2460830.38818     0.27   0.20  -13.75   61.44  0.00242  0.00199 -0.00126  0.00194
