# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_26         2460829.35424     0.21   0.08   10.61   11.68  0.00196  0.00078  0.00076  0.00076
Mark_26         2460829.35481     0.40   0.08   12.08    5.57  0.00369  0.00077  0.00166  0.00076
Mark_26         2460829.35539     0.32   0.08   -9.71    7.18  0.00301  0.00077 -0.00106  0.00076
Mark_26         2460829.35597     0.27   0.08    5.15    8.50  0.00270  0.00077  0.00049  0.00076
Mark_26         2460829.35655     0.23   0.08   13.37   10.27  0.00207  0.00077  0.00104  0.00076
Mark_26         2460829.35713     0.31   0.08    2.76    7.33  0.00312  0.00077  0.00030  0.00076
Mark_26         2460829.35771     0.32   0.08   13.42    7.20  0.00284  0.00077  0.00144  0.00076
Mark_26         2460829.35829     0.42   0.08   20.35    5.33  0.00319  0.00077  0.00275  0.00076
Mark_26         2460829.35887     0.29   0.08    8.53    8.01  0.00280  0.00078  0.00086  0.00076
Mark_26         2460829.35944     0.18   0.08   24.79   13.45  0.00120  0.00077  0.00141  0.00076
Mark_76         2460830.36082     1.13   0.26   -9.37    6.88  0.01069  0.00262 -0.00363  0.00255
Mark_76         2460830.36115     1.41   0.32  -22.50    6.81  0.00998  0.00328 -0.00998  0.00318
Mark_76         2460830.36147     1.30   0.28  -23.54    6.46  0.00887  0.00289 -0.00954  0.00279
Mark_76         2460830.36179     1.46   0.28  -34.66    5.65  0.00514  0.00286 -0.01362  0.00279
Mark_76         2460830.36212     1.64   0.27  -17.38    4.90  0.01347  0.00276 -0.00935  0.00272
Mark_76         2460830.36244     1.04   0.29  -33.35    8.60  0.00410  0.00300 -0.00953  0.00293
Mark_76         2460830.36277     1.72   0.29  -25.79    4.98  0.01070  0.00293 -0.01348  0.00293
Mark_76         2460830.36309     1.07   0.27  -16.81    7.57  0.00887  0.00271 -0.00590  0.00264
Mark_76         2460830.36343     1.07   0.28  -26.81    7.79  0.00636  0.00280 -0.00863  0.00277
Mark_76         2460830.36375     1.30   0.25  -31.00    5.59  0.00612  0.00253 -0.01150  0.00246
Mark_81         2460830.38067     0.50   0.17  -29.27   10.48  0.00263  0.00173 -0.00429  0.00168
Mark_81         2460830.38088     1.00   0.17   -4.09    5.05  0.00991  0.00173 -0.00142  0.00169
Mark_81         2460830.38109     0.58   0.18  -17.80    9.31  0.00470  0.00177 -0.00336  0.00173
Mark_81         2460830.38130     0.20   0.18  -10.37   61.44  0.00188  0.00179 -0.00071  0.00173
Mark_81         2460830.38152     0.54   0.17   25.00    9.89  0.00349  0.00177  0.00416  0.00172
Mark_81         2460830.38172     0.36   0.17   -8.59   16.23  0.00346  0.00173 -0.00107  0.00170
Mark_81         2460830.38193     0.54   0.18  -32.07   10.45  0.00234  0.00185 -0.00483  0.00179
Mark_81         2460830.38214     0.39   0.17  -35.27   14.81  0.00131  0.00179 -0.00369  0.00174
Mark_81         2460830.38236     0.77   0.17  -20.69    6.69  0.00580  0.00176 -0.00512  0.00172
