#Filename  optimal_apeture
6_Mark_26_00_B_90.00_2025_06_02-20_42_02.fits   10.5
6_Mark_26_01_B_90.00_2025_06_02-20_43_42.fits   10.5
6_Mark_26_02_B_90.00_2025_06_02-20_45_22.fits   10.5
6_Mark_26_03_B_90.00_2025_06_02-20_47_02.fits   10.0
6_Mark_26_04_B_90.00_2025_06_02-20_48_43.fits   10.0
6_Mark_26_05_B_90.00_2025_06_02-20_50_23.fits   10.0
6_Mark_26_06_B_90.00_2025_06_02-20_52_03.fits   10.0
6_Mark_26_07_B_90.00_2025_06_02-20_53_43.fits   10.5
6_Mark_26_08_B_90.00_2025_06_02-20_55_23.fits   10.0
6_Mark_26_09_B_90.00_2025_06_02-20_57_03.fits   10.0
