#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_26B        2460829.36252   0.00170   0.00099   88.51   21.34 -0.00170  0.00099  0.00009  0.00097  1037.15  1081.37  1037.68   979.68  1087.41  1025.78   985.71  1025.37
Mark_26B        2460829.36368   0.00250   0.00099  -85.26   12.66 -0.00247  0.00099 -0.00041  0.00097  1037.21  1081.32  1037.74   979.63  1087.50  1025.72   985.79  1025.31
Mark_26B        2460829.36484   0.00331   0.00099  -79.92    9.17 -0.00310  0.00099 -0.00114  0.00098  1037.31  1081.36  1037.85   979.67  1087.55  1025.71   985.87  1025.30
Mark_26B        2460829.36600   0.00226   0.00099   75.74   14.45 -0.00198  0.00099  0.00108  0.00098  1037.63  1081.57  1038.16   979.87  1087.84  1025.90   986.14  1025.49
Mark_26B        2460829.36716   0.00098   0.00098  -64.77   61.44 -0.00062  0.00099 -0.00075  0.00098  1037.39  1081.72  1037.91   980.02  1087.62  1026.06   985.93  1025.66
Mark_26B        2460829.36832   0.00352   0.00098   67.20    8.48 -0.00246  0.00099  0.00251  0.00098  1037.67  1081.64  1038.19   979.95  1087.84  1026.03   986.15  1025.63
Mark_26B        2460829.36948   0.00319   0.00099   72.85    9.52 -0.00264  0.00099  0.00180  0.00098  1037.78  1081.55  1038.30   979.84  1087.98  1025.89   986.30  1025.48
Mark_26B        2460829.37064   0.00173   0.00100  -84.19   21.18 -0.00170  0.00100 -0.00035  0.00099  1037.46  1081.63  1037.99   979.92  1087.68  1025.97   985.98  1025.57
Mark_26B        2460829.37179   0.00369   0.00099   60.39    8.08 -0.00189  0.00100  0.00317  0.00099  1037.37  1081.49  1037.90   979.79  1087.65  1025.84   985.95  1025.44
Mark_26B        2460829.37295   0.00391   0.00100   85.79    7.67 -0.00386  0.00100  0.00057  0.00099  1037.83  1081.59  1038.35   979.89  1088.07  1025.97   986.37  1025.57
