#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_66         2460460.42272   0.00380   0.00220   70.96   21.19 -0.00300  0.00222  0.00235  0.00216  1032.77  1082.55  1033.04   982.95  1080.10  1027.80   980.70  1027.52
Mark_66         2460460.42304   0.00307   0.00220  -72.53   61.44 -0.00251  0.00221 -0.00176  0.00216  1032.46  1083.43  1032.78   983.91  1080.23  1028.66   980.86  1028.41
Mark_66         2460460.42339   0.00335   0.00221    9.68   25.87  0.00316  0.00221  0.00111  0.00216  1032.22  1083.71  1032.63   984.17  1079.77  1028.75   980.38  1028.53
Mark_66         2460460.42373   0.00378   0.00223   81.12   21.82 -0.00360  0.00223  0.00115  0.00217  1032.28  1083.25  1032.60   983.69  1080.18  1028.52   980.74  1028.31
Mark_66         2460460.42441   0.00443   0.00223    0.27   17.47  0.00443  0.00223  0.00004  0.00218  1030.61  1082.12  1031.00   982.60  1078.59  1027.05   979.19  1026.78
Mark_66         2460460.42598   0.00620   0.00218   41.21   11.00  0.00082  0.00225  0.00614  0.00217  1031.67  1080.18  1031.97   980.73  1079.34  1025.35   979.96  1025.12
Mark_66         2460460.42632   0.00314   0.00219   63.86   28.36 -0.00192  0.00223  0.00249  0.00217  1031.45  1080.54  1031.84   980.94  1079.39  1025.69   979.95  1025.44
Mark_66         2460460.42666   0.00306   0.00223   15.92   61.44  0.00260  0.00225  0.00161  0.00218  1031.20  1080.01  1031.54   980.44  1079.22  1025.10   979.75  1024.80
Mark_66         2460460.42699   0.00427   0.00218   42.46   17.71  0.00038  0.00224  0.00426  0.00218  1031.79  1080.44  1032.00   980.87  1079.61  1025.67   980.14  1025.40
Mark_66         2460460.42733   0.00065   0.00226   85.92   61.44 -0.00064  0.00226  0.00009  0.00220  1031.89  1081.07  1032.19   981.50  1079.59  1026.04   980.19  1025.77
Mark_66         2460460.42766   0.00424   0.00220   47.69   18.23 -0.00040  0.00226  0.00422  0.00220  1030.87  1081.22  1031.22   981.63  1078.81  1026.32   979.37  1026.05
