#Filename  optimal_apeture
42_Mark_81_00_R_8.00_2025_06_03-21_03_59.fits   8.0
42_Mark_81_01_R_8.00_2025_06_03-21_04_17.fits   8.5
42_Mark_81_02_R_8.00_2025_06_03-21_04_41.fits   8.5
42_Mark_81_03_R_8.00_2025_06_03-21_05_00.fits   8.5
42_Mark_81_04_R_8.00_2025_06_03-21_05_18.fits   8.0
42_Mark_81_05_R_8.00_2025_06_03-21_05_36.fits   8.0
42_Mark_81_06_R_8.00_2025_06_03-21_05_54.fits   8.0
42_Mark_81_07_R_8.00_2025_06_03-21_06_12.fits   8.0
42_Mark_81_08_R_8.00_2025_06_03-21_06_31.fits   8.5
42_Mark_81_09_R_8.00_2025_06_03-21_06_49.fits   8.0
