#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+33.2642      2460830.54559   0.00399   0.00148   61.72   11.80 -0.00220  0.00150  0.00333  0.00148  1036.97  1081.16  1037.50   979.77  1085.79  1026.00   984.16  1025.55
BD+33.2642      2460830.54594   0.00300   0.00151   73.68   17.40 -0.00253  0.00151  0.00162  0.00150  1036.72  1080.37  1037.21   978.95  1085.52  1025.23   983.84  1024.81
BD+33.2642      2460830.54628   0.00538   0.00148   71.39    8.32 -0.00429  0.00149  0.00326  0.00147  1036.64  1080.08  1037.19   978.58  1085.45  1025.08   983.76  1024.66
BD+33.2642      2460830.54664   0.00594   0.00149  -59.31    7.52 -0.00285  0.00151 -0.00522  0.00149  1036.58  1081.29  1037.07   979.84  1085.24  1026.31   983.55  1025.92
BD+33.2642      2460830.54699   0.00414   0.00150   85.87   11.38 -0.00410  0.00150  0.00060  0.00148  1036.69  1080.86  1037.21   979.45  1085.54  1025.80   983.91  1025.43
BD+33.2642      2460830.54734   0.00232   0.00148   39.82   24.55  0.00042  0.00149  0.00228  0.00148  1036.76  1080.44  1037.33   978.91  1085.63  1025.45   983.94  1025.09
BD+33.2642      2460830.54769   0.00290   0.00150   89.28   17.99 -0.00290  0.00150  0.00007  0.00147  1036.65  1080.12  1037.06   978.70  1085.23  1025.04   983.54  1024.62
BD+33.2642      2460830.54803   0.00188   0.00149   86.67   61.44 -0.00187  0.00149  0.00022  0.00147  1036.87  1080.68  1037.33   979.30  1085.52  1025.49   983.88  1025.10
BD+33.2642      2460830.54839   0.00385   0.00151   80.13   12.59 -0.00362  0.00151  0.00130  0.00149  1037.24  1081.05  1037.77   979.56  1085.87  1025.91   984.23  1025.57
BD+33.2642      2460830.54874   0.00365   0.00151  -87.15   13.51 -0.00363  0.00151 -0.00036  0.00149  1036.73  1080.07  1037.25   978.60  1085.36  1024.94   983.65  1024.49
