#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+33.2642      2460830.54358   0.00756   0.00212  -28.33    8.48  0.00415  0.00215 -0.00632  0.00211  1036.32  1079.42  1036.81   980.81  1083.60  1026.12   985.01  1025.71
BD+33.2642      2460830.54377   0.00697   0.00210  -26.78    9.23  0.00414  0.00213 -0.00560  0.00209  1036.12  1079.89  1036.61   981.39  1083.56  1026.41   985.05  1026.08
BD+33.2642      2460830.54397   0.00719   0.00214   -9.41    9.10  0.00681  0.00215 -0.00232  0.00210  1037.32  1079.28  1037.89   980.73  1084.71  1026.02   986.13  1025.60
BD+33.2642      2460830.54417   0.00633   0.00215  -18.60   10.58  0.00504  0.00217 -0.00383  0.00212  1036.76  1079.05  1037.31   980.54  1083.84  1025.56   985.24  1025.15
BD+33.2642      2460830.54436   0.00745   0.00210  -40.16    8.55  0.00125  0.00215 -0.00734  0.00210  1036.03  1079.84  1036.56   981.26  1083.99  1026.48   985.36  1026.12
BD+33.2642      2460830.54456   0.00442   0.00214    2.18   16.49  0.00441  0.00214  0.00034  0.00209  1037.20  1080.11  1037.63   981.62  1084.75  1026.56   986.17  1026.10
BD+33.2642      2460830.54476   0.00553   0.00215  -28.91   12.45  0.00295  0.00218 -0.00468  0.00214  1035.74  1079.62  1036.27   980.93  1083.28  1026.38   984.63  1025.95
BD+33.2642      2460830.54495   0.00178   0.00214  -32.21   61.44  0.00077  0.00218 -0.00160  0.00213  1036.43  1079.86  1036.88   981.28  1083.91  1025.83   985.39  1025.35
BD+33.2642      2460830.54516   0.00683   0.00209  -46.16    9.39 -0.00028  0.00214 -0.00682  0.00209  1038.53  1079.78  1038.96   981.21  1085.54  1026.15   986.98  1025.75
BD+33.2642      2460830.54536   0.00682   0.00213  -21.67    9.58  0.00496  0.00215 -0.00468  0.00211  1036.69  1080.52  1037.18   981.90  1083.41  1026.84   984.82  1026.42
