#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+33.2642      2460830.54559   0.00399   0.00148   61.72   11.80 -0.00220  0.00150  0.00333  0.00148  1036.97  1081.16  1037.50   979.77  1085.79  1026.00   984.16  1025.55
BD+33.2642      2460830.54594   0.00300   0.00151   73.68   17.40 -0.00253  0.00151  0.00162  0.00150  1036.72  1080.37  1037.21   978.95  1085.52  1025.23   983.84  1024.81
BD+33.2642      2460830.54628   0.00538   0.00148   71.39    8.32 -0.00429  0.00149  0.00326  0.00147  1036.64  1080.08  1037.19   978.58  1085.45  1025.08   983.76  1024.66
BD+33.2642      2460830.54664   0.00594   0.00149  -59.31    7.52 -0.00285  0.00151 -0.00522  0.00149  1036.58  1081.29  1037.07   979.84  1085.24  1026.31   983.55  1025.92
BD+33.2642      2460830.54699   0.00414   0.00150   85.87   11.38 -0.00410  0.00150  0.00060  0.00148  1036.69  1080.86  1037.21   979.45  1085.54  1025.80   983.91  1025.43
BD+33.2642      2460830.54734   0.00232   0.00148   39.82   24.55  0.00042  0.00149  0.00228  0.00148  1036.76  1080.44  1037.33   978.91  1085.63  1025.45   983.94  1025.09
BD+33.2642      2460830.54769   0.00290   0.00150   89.28   17.99 -0.00290  0.00150  0.00007  0.00147  1036.65  1080.12  1037.06   978.70  1085.23  1025.04   983.54  1024.62
BD+33.2642      2460830.54803   0.00188   0.00149   86.67   61.44 -0.00187  0.00149  0.00022  0.00147  1036.87  1080.68  1037.33   979.30  1085.52  1025.49   983.88  1025.10
BD+33.2642      2460830.54839   0.00385   0.00151   80.13   12.59 -0.00362  0.00151  0.00130  0.00149  1037.24  1081.05  1037.77   979.56  1085.87  1025.91   984.23  1025.57
BD+33.2642      2460830.54874   0.00365   0.00151  -87.15   13.51 -0.00363  0.00151 -0.00036  0.00149  1036.73  1080.07  1037.25   978.60  1085.36  1024.94   983.65  1024.49
BD+40.2704      2460830.27116   0.00449   0.00175  -50.63   12.51 -0.00088  0.00177 -0.00441  0.00175  1036.81  1079.51  1037.34   978.65  1086.99  1023.88   985.73  1023.40
BD+40.2704      2460830.27226   0.00204   0.00174  -42.51   61.44  0.00018  0.00176 -0.00204  0.00174  1036.80  1079.94  1037.56   978.82  1087.12  1024.25   985.88  1023.81
BD+40.2704      2460830.27336   0.00375   0.00173   60.23   15.53 -0.00190  0.00174  0.00323  0.00173  1036.60  1079.99  1037.03   978.99  1086.81  1024.30   985.65  1023.82
BD+40.2704      2460830.27446   0.00317   0.00172  -55.72   19.28 -0.00116  0.00174 -0.00295  0.00171  1037.05  1079.96  1037.87   978.93  1087.27  1024.29   986.00  1023.95
BD+40.2704      2460830.27556   0.00910   0.00172   60.60    5.55 -0.00471  0.00173  0.00778  0.00172  1036.17  1075.48  1036.98   978.76  1086.77  1024.15   985.56  1023.68
BD+40.2704      2460830.27667   0.00175   0.00173  -82.66   61.44 -0.00170  0.00173 -0.00044  0.00170  1036.99  1079.62  1037.57   978.70  1087.22  1024.10   985.98  1023.69
BD+40.2704      2460830.27777   0.00213   0.00172  -75.51   61.44 -0.00186  0.00172 -0.00103  0.00169  1036.48  1079.81  1037.06   978.71  1086.79  1024.19   985.65  1023.77
HD154892        2460830.55644   0.00356   0.00117  -86.56   10.13 -0.00354  0.00117 -0.00043  0.00115  1036.10  1079.39  1036.73   977.96  1085.14  1024.39   983.62  1023.96
HD154892        2460830.55659   0.00158   0.00114   74.60   61.44 -0.00136  0.00115  0.00081  0.00112  1035.07  1079.61  1035.82   978.08  1084.91  1024.54   983.41  1024.16
HD154892        2460830.55674   0.00070   0.00117    1.11   61.44  0.00070  0.00117  0.00003  0.00115  1036.31  1079.32  1036.96   977.85  1085.21  1024.42   983.71  1024.01
HD154892        2460830.55689   0.00206   0.00116  -68.56   20.55 -0.00151  0.00117 -0.00140  0.00116  1035.76  1079.51  1036.29   978.12  1085.02  1024.03   983.44  1023.58
HD154892        2460830.55704   0.00146   0.00116   55.39   61.44 -0.00052  0.00118  0.00136  0.00116  1035.51  1079.04  1036.18   977.60  1085.18  1024.04   983.66  1023.61
HD183143        2460830.56306   0.05637   0.00148   -0.23    0.75  0.05637  0.00148 -0.00045  0.00148  1038.52  1082.87  1038.90   981.86  1087.63  1027.28   986.28  1026.90
HD183143        2460830.56318   0.05698   0.00148    0.66    0.75  0.05696  0.00148  0.00130  0.00147  1037.95  1082.34  1038.39   981.15  1086.05  1026.79   984.69  1026.42
HD183143        2460830.56331   0.05863   0.00148   -1.95    0.72  0.05850  0.00148 -0.00400  0.00148  1037.61  1081.80  1038.11   980.55  1085.83  1026.20   984.38  1025.73
HD183143        2460830.56344   0.05900   0.00148    1.12    0.72  0.05895  0.00148  0.00230  0.00147  1038.16  1081.75  1038.71   980.52  1086.65  1026.75   985.33  1026.39
HD183143        2460830.56358   0.05485   0.00150    0.75    0.79  0.05483  0.00150  0.00144  0.00150  1039.10  1082.56  1039.54   981.25  1087.06  1027.04   985.63  1026.59
