#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+33.2642      2460830.54912   0.00168   0.00092  -83.18   19.56 -0.00163  0.00092 -0.00040  0.00090  1036.28  1080.05  1036.86   979.10  1083.65  1025.30   982.56  1024.91
BD+33.2642      2460830.54941   0.00288   0.00092   85.44    9.82 -0.00284  0.00092  0.00046  0.00090  1036.34  1080.08  1036.83   979.10  1083.53  1025.17   982.42  1024.77
BD+33.2642      2460830.54971   0.00476   0.00092   81.25    5.70 -0.00454  0.00092  0.00143  0.00091  1036.79  1081.07  1037.35   980.12  1084.33  1026.17   983.21  1025.76
BD+33.2642      2460830.55000   0.00188   0.00092  -76.51   16.77 -0.00167  0.00092 -0.00085  0.00091  1036.04  1080.44  1036.64   979.50  1083.55  1025.62   982.38  1025.24
BD+33.2642      2460830.55029   0.00189   0.00091  -64.86   16.32 -0.00121  0.00091 -0.00145  0.00090  1036.07  1080.31  1036.63   979.30  1083.68  1025.58   982.54  1025.21
BD+33.2642      2460830.55058   0.00386   0.00091  -56.39    7.00 -0.00150  0.00092 -0.00356  0.00091  1036.01  1080.41  1036.53   979.37  1083.37  1025.43   982.22  1024.99
BD+33.2642      2460830.55087   0.00200   0.00092  -89.41   15.33 -0.00200  0.00092 -0.00004  0.00090  1036.55  1080.45  1037.11   979.44  1083.93  1025.71   982.80  1025.34
BD+33.2642      2460830.55116   0.00212   0.00091  -52.85   14.08 -0.00057  0.00092 -0.00204  0.00091  1035.19  1080.33  1035.68   979.47  1082.72  1025.59   981.60  1025.22
BD+40.2704      2460830.27142   0.00210   0.00109    4.38   18.13  0.00208  0.00109  0.00032  0.00107  1035.82  1079.79  1036.39   979.19  1084.86  1024.49   984.10  1024.05
BD+40.2704      2460830.27252   0.00205   0.00107    8.35   18.37  0.00197  0.00108  0.00059  0.00105  1035.82  1079.84  1036.35   979.30  1085.30  1024.45   984.51  1024.03
BD+40.2704      2460830.27363   0.00067   0.00109    5.74   61.44  0.00066  0.00109  0.00013  0.00107  1036.17  1079.42  1036.74   978.75  1085.12  1024.28   984.37  1023.83
BD+40.2704      2460830.27473   0.00204   0.00107  -16.08   18.31  0.00173  0.00107 -0.00109  0.00105  1036.30  1079.74  1036.82   979.09  1085.53  1024.38   984.82  1023.92
BD+40.2704      2460830.27583   0.00096   0.00105   37.06   61.44  0.00026  0.00107  0.00093  0.00105  1035.81  1078.91  1036.24   978.72  1084.94  1023.76   984.21  1023.36
BD+40.2704      2460830.27693   0.00165   0.00106  -16.95   24.98  0.00137  0.00107 -0.00092  0.00105  1036.54  1079.13  1037.04   978.53  1085.67  1023.93   984.94  1023.43
BD+40.2704      2460830.27803   0.00066   0.00105  -54.07   61.44 -0.00020  0.00107 -0.00062  0.00105  1035.95  1079.11  1036.54   978.60  1085.25  1023.97   984.56  1023.50
HD154892        2460830.55723   0.00227   0.00070  -47.93    9.39 -0.00023  0.00071 -0.00226  0.00070  1034.11  1079.55  1034.65   978.73  1082.40  1024.63   981.40  1024.25
HD154892        2460830.55737   0.00264   0.00070  -60.33    7.94 -0.00135  0.00071 -0.00227  0.00069  1035.07  1079.47  1035.61   978.60  1082.81  1024.18   981.79  1023.75
HD154892        2460830.55751   0.00261   0.00070  -52.84    8.07 -0.00070  0.00071 -0.00251  0.00070  1034.48  1078.78  1035.07   977.89  1082.14  1024.03   981.10  1023.63
HD154892        2460830.55765   0.00050   0.00071    2.82   61.44  0.00050  0.00071  0.00005  0.00070  1034.49  1079.70  1035.10   978.77  1082.52  1024.66   981.50  1024.28
HD154892        2460830.55779   0.00235   0.00070  -25.64    9.06  0.00147  0.00071 -0.00184  0.00069  1034.44  1079.37  1034.99   978.45  1082.40  1024.51   981.42  1024.13
HD183143        2460830.56374   0.06289   0.00079   -2.57    0.36  0.06264  0.00079 -0.00562  0.00078  1037.32  1081.63  1037.86   980.98  1084.91  1026.70   984.10  1026.33
HD183143        2460830.56387   0.06237   0.00079   -0.77    0.36  0.06235  0.00079 -0.00168  0.00078  1037.61  1081.88  1038.15   981.08  1084.92  1026.91   984.13  1026.46
HD183143        2460830.56399   0.06252   0.00079   -1.30    0.36  0.06245  0.00079 -0.00284  0.00078  1037.45  1082.00  1037.99   981.31  1084.95  1027.07   984.06  1026.66
HD183143        2460830.56412   0.06314   0.00079   -1.46    0.36  0.06306  0.00079 -0.00321  0.00078  1036.63  1082.06  1037.12   981.34  1084.62  1026.86   983.85  1026.52
HD183143        2460830.56425   0.06110   0.00079   -1.81    0.37  0.06098  0.00079 -0.00385  0.00078  1037.36  1081.64  1037.89   980.81  1084.87  1026.63   984.02  1026.16
