#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+33.2642      2460830.54358   0.00756   0.00212  -28.33    8.48  0.00415  0.00215 -0.00632  0.00211  1036.32  1079.42  1036.81   980.81  1083.60  1026.12   985.01  1025.71
BD+33.2642      2460830.54377   0.00697   0.00210  -26.78    9.23  0.00414  0.00213 -0.00560  0.00209  1036.12  1079.89  1036.61   981.39  1083.56  1026.41   985.05  1026.08
BD+33.2642      2460830.54397   0.00719   0.00214   -9.41    9.10  0.00681  0.00215 -0.00232  0.00210  1037.32  1079.28  1037.89   980.73  1084.71  1026.02   986.13  1025.60
BD+33.2642      2460830.54417   0.00633   0.00215  -18.60   10.58  0.00504  0.00217 -0.00383  0.00212  1036.76  1079.05  1037.31   980.54  1083.84  1025.56   985.24  1025.15
BD+33.2642      2460830.54436   0.00745   0.00210  -40.16    8.55  0.00125  0.00215 -0.00734  0.00210  1036.03  1079.84  1036.56   981.26  1083.99  1026.48   985.36  1026.12
BD+33.2642      2460830.54456   0.00442   0.00214    2.18   16.49  0.00441  0.00214  0.00034  0.00209  1037.20  1080.11  1037.63   981.62  1084.75  1026.56   986.17  1026.10
BD+33.2642      2460830.54476   0.00553   0.00215  -28.91   12.45  0.00295  0.00218 -0.00468  0.00214  1035.74  1079.62  1036.27   980.93  1083.28  1026.38   984.63  1025.95
BD+33.2642      2460830.54495   0.00178   0.00214  -32.21   61.44  0.00077  0.00218 -0.00160  0.00213  1036.43  1079.86  1036.88   981.28  1083.91  1025.83   985.39  1025.35
BD+33.2642      2460830.54516   0.00683   0.00209  -46.16    9.39 -0.00028  0.00214 -0.00682  0.00209  1038.53  1079.78  1038.96   981.21  1085.54  1026.15   986.98  1025.75
BD+33.2642      2460830.54536   0.00682   0.00213  -21.67    9.58  0.00496  0.00215 -0.00468  0.00211  1036.69  1080.52  1037.18   981.90  1083.41  1026.84   984.82  1026.42
BD+40.2704      2460830.27096   0.00555   0.00099  -24.79    5.22  0.00360  0.00100 -0.00423  0.00098  1035.28  1078.67  1035.77   980.37  1084.41  1024.45   985.89  1024.04
BD+40.2704      2460830.27206   0.00729   0.00099  -30.04    3.95  0.00364  0.00101 -0.00631  0.00099  1034.50  1078.70  1035.06   980.25  1083.72  1024.03   985.24  1023.66
BD+40.2704      2460830.27316   0.00881   0.00098  -31.54    3.21  0.00399  0.00099 -0.00785  0.00098  1035.30  1074.36  1036.00   975.41  1085.14  1024.00   986.63  1023.56
BD+40.2704      2460830.27426   0.00477   0.00099  -16.70    6.09  0.00398  0.00099 -0.00262  0.00097  1035.69  1078.77  1036.14   980.55  1084.56  1023.87   986.08  1023.47
BD+40.2704      2460830.27536   0.00433   0.00098  -23.19    6.71  0.00299  0.00099 -0.00313  0.00097  1035.66  1078.73  1036.07   980.45  1084.29  1024.19   985.76  1023.75
BD+40.2704      2460830.27646   0.00778   0.00098  -23.27    3.64  0.00535  0.00099 -0.00565  0.00097  1034.82  1078.89  1035.32   980.72  1083.82  1024.48   985.34  1024.07
BD+40.2704      2460830.27756   0.00821   0.00098  -18.84    3.46  0.00649  0.00099 -0.00502  0.00097  1035.71  1078.50  1036.28   980.21  1084.60  1024.00   986.13  1023.66
HD154892        2460830.55575   0.00704   0.00103  -24.33    4.24  0.00465  0.00104 -0.00529  0.00102  1035.00  1078.43  1035.59   979.69  1083.15  1024.86   984.53  1024.50
HD154892        2460830.55588   0.00600   0.00104  -14.75    5.07  0.00523  0.00105 -0.00296  0.00103  1035.54  1078.42  1036.01   979.80  1083.03  1024.61   984.49  1024.21
HD154892        2460830.55601   0.01000   0.00103  -23.82    2.97  0.00674  0.00104 -0.00739  0.00102  1035.78  1078.63  1036.28   979.91  1084.21  1024.93   985.61  1024.46
HD154892        2460830.55613   0.00752   0.00103  -20.91    3.98  0.00561  0.00105 -0.00501  0.00102  1036.31  1078.66  1036.66   980.20  1083.61  1024.74   985.09  1024.37
HD154892        2460830.55626   0.00414   0.00103  -27.34    7.45  0.00239  0.00104 -0.00337  0.00102  1035.43  1077.58  1036.18   978.96  1083.24  1024.48   984.67  1024.05
HD183143        2460830.56241   0.05924   0.00069   -3.89    0.34  0.05869  0.00069 -0.00803  0.00068  1037.40  1080.07  1037.97   981.59  1084.71  1026.32   986.20  1025.91
HD183143        2460830.56253   0.05874   0.00069   -3.90    0.34  0.05820  0.00069 -0.00797  0.00068  1036.54  1081.19  1037.13   982.52  1083.54  1027.34   985.06  1026.97
HD183143        2460830.56265   0.05913   0.00069   -2.78    0.34  0.05885  0.00069 -0.00572  0.00068  1036.86  1082.20  1037.34   983.85  1084.35  1027.48   985.84  1027.13
HD183143        2460830.56278   0.05831   0.00069   -2.92    0.34  0.05800  0.00069 -0.00594  0.00068  1038.37  1081.68  1038.89   983.29  1084.76  1027.51   986.26  1027.07
HD183143        2460830.56289   0.05888   0.00069   -2.96    0.33  0.05857  0.00069 -0.00608  0.00068  1037.81  1081.37  1038.23   983.23  1085.27  1027.11   986.82  1026.76
