#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_0          2460507.29355   1.84   0.07   65.10    1.11 -0.01185  0.00086  0.01401  0.00058
Mark_1          2460508.28233   1.10   0.04   66.38    1.09 -0.00745  0.00036  0.00806  0.00046
Mark_2          2460643.65069   1.00   0.06   84.35    1.74 -0.00984  0.00058  0.00197  0.00101
Mark_3          2460426.43690   0.38   0.12   67.08    9.40 -0.00267  0.00119  0.00275  0.00117
Mark_4          2460426.43999   1.16   0.69   60.84   22.00 -0.00612  0.00131  0.00991  0.00807
Mark_5          2460426.43407   0.22   0.13   19.77   21.54  0.00171  0.00135  0.00142  0.00123
Mark_7          2460461.37717   0.48   0.06   45.98    3.54 -0.00017  0.00044  0.00482  0.00059
Mark_8          2460426.41826   0.62   0.59  -35.12   61.44  0.00210  0.00105 -0.00584  0.00622
Mark_9          2460426.42202   0.13   0.09  -26.28   27.64  0.00077  0.00080 -0.00101  0.00091
Mark_10         2460459.30401   1.38   0.11   63.02    2.37 -0.00812  0.00075  0.01117  0.00129
Mark_11         2460438.33242   0.16   0.05   -0.39   10.19  0.00165  0.00054 -0.00002  0.00106
Mark_12         2460426.35266   0.39   0.48   12.54   61.44  0.00351  0.00531  0.00164  0.00121
Mark_13         2460432.30412   0.81   0.17    9.65    6.37  0.00760  0.00169  0.00266  0.00208
Mark_14         2460459.34708   0.55   0.12   28.20    6.78  0.00302  0.00195  0.00455  0.00075
Mark_15         2460426.44318   0.65   0.19   80.83    9.02 -0.00618  0.00199  0.00205  0.00116
Mark_16         2460426.42582   0.86   0.37    4.44   14.16  0.00851  0.00375  0.00133  0.00089
Mark_17         2460459.38080   0.16   0.08   54.35   17.15 -0.00053  0.00154  0.00156  0.00069
Mark_18         2460426.42901   0.34   0.05   48.90    3.88 -0.00046  0.00066  0.00338  0.00045
Mark_19         2460426.43140   0.32   0.07   51.94    5.95 -0.00077  0.00057  0.00314  0.00066
Mark_20         2460459.38410   0.17   0.04   49.23    7.34 -0.00025  0.00046  0.00170  0.00042
Mark_21         2460460.41860   0.43   0.06   57.88    4.36 -0.00186  0.00043  0.00386  0.00068
Mark_24         2460780.47338   0.46   0.06   28.66    3.78  0.00251  0.00058  0.00391  0.00062
Mark_24B        2460829.32401   0.10   0.11  -69.80   61.44 -0.00077  0.00131 -0.00065  0.00059
Mark_25         2460829.33374   0.20   0.03   68.72    4.81 -0.00149  0.00034  0.00137  0.00033
Mark_26B        2460829.36774   0.56   0.03   73.35    1.66 -0.00470  0.00027  0.00308  0.00043
Mark_26         2460829.34960   0.13   0.02   43.65    4.10  0.00006  0.00020  0.00134  0.00019
Mark_26C        2460829.37994   0.40   0.02   68.50    1.55 -0.00294  0.00024  0.00274  0.00019
Mark_26D        2460829.35684   0.30   0.03  -20.24    2.72  0.00228  0.00026 -0.00194  0.00030
Mark_27         2460829.39093   0.12   0.03    2.14    7.91  0.00118  0.00031  0.00009  0.00030
Mark_29B        2460426.33969   0.65   0.10   38.42    4.28  0.00148  0.00139  0.00634  0.00093
Mark_29         2460426.34069   0.62   0.09   42.70    4.47  0.00049  0.00080  0.00614  0.00095
Mark_30         2460432.37998   0.40   0.09   20.67    6.28  0.00302  0.00101  0.00266  0.00060
Mark_33         2460461.41779   0.24   0.07   14.38    8.68  0.00213  0.00068  0.00117  0.00074
Mark_34         2460426.34805   0.34   0.05   55.91    4.66 -0.00126  0.00040  0.00314  0.00056
Mark_35         2460438.31047   0.45   0.06   34.43    4.11  0.00163  0.00095  0.00422  0.00058
Mark_36         2460459.36682   0.17   0.06   49.50   11.77 -0.00027  0.00065  0.00167  0.00063
Mark_41         2460459.31419   0.35   0.09   48.22    8.10 -0.00039  0.00071  0.00349  0.00095
Mark_43         2460426.35778   0.51   0.26  -39.09   17.94  0.00104  0.00295 -0.00494  0.00258
Mark_44         2460438.44333   0.25   0.04   54.65    4.78 -0.00082  0.00051  0.00234  0.00039
Mark_45         2460438.43699   0.08   0.03   36.17   12.63  0.00025  0.00037  0.00077  0.00031
Mark_47         2460461.31411   0.23   0.07   40.64    9.92  0.00034  0.00067  0.00223  0.00072
Mark_48         2460460.43270   0.37   0.07   64.64    5.59 -0.00234  0.00078  0.00286  0.00065
Mark_51         2460461.38112   0.08   0.06   43.26   28.27  0.00005  0.00075  0.00082  0.00057
Mark_53         2460461.42287   0.12   0.06  -24.50   19.19  0.00078  0.00042 -0.00089  0.00076
Mark_54         2460461.35736   0.30   0.04   49.29    4.28 -0.00045  0.00022  0.00300  0.00045
Mark_55         2460438.32266   0.52   0.06   52.78    3.50 -0.00139  0.00061  0.00499  0.00063
Mark_56         2460460.35637   0.33   0.03   53.72    2.63 -0.00100  0.00037  0.00319  0.00030
Mark_59         2460481.35127   0.10   0.06   44.11   19.78  0.00003  0.00062  0.00101  0.00056
Mark_60         2460460.31475   0.23   0.03   47.69    3.82 -0.00022  0.00067  0.00232  0.00030
Mark_64         2460460.34562   0.40   0.06   42.69    4.22  0.00032  0.00050  0.00399  0.00058
Mark_65         2460431.28145   0.60   0.01   44.70    0.65  0.00006  0.00069  0.00597  0.00014
Mark_66         2460460.42529   0.52   0.07   62.03    3.91 -0.00290  0.00074  0.00428  0.00068
Mark_67         2460459.40329   0.41   0.05   46.74    3.90 -0.00025  0.00046  0.00405  0.00055
Mark_68         2460459.40742   0.20   0.06   31.23    8.96  0.00092  0.00052  0.00176  0.00060
Mark_69         2460460.40407   0.28   0.06   46.76    6.30 -0.00017  0.00027  0.00283  0.00060
Mark_70         2460459.30005   0.27   0.04   40.50    4.11  0.00042  0.00069  0.00264  0.00037
Mark_71         2460459.39899   0.16   0.03   36.16    5.07  0.00050  0.00070  0.00156  0.00020
Mark_72         2460459.35757   0.42   0.05   22.76    3.41  0.00297  0.00052  0.00302  0.00048
Mark_74         2460459.39503   0.18   0.07   38.76   13.03  0.00039  0.00049  0.00174  0.00073
Mark_75         2460461.37286   0.27   0.08   40.35    9.45  0.00044  0.00041  0.00269  0.00085
Mark_76         2460830.35889   0.40   0.10  -32.38    7.56  0.00171  0.00058 -0.00362  0.00108
Mark_78         2460461.39199   0.16   0.08   19.39   16.00  0.00127  0.00092  0.00102  0.00045
Mark_79         2460461.35341   0.27   0.04   44.59    4.75  0.00004  0.00050  0.00272  0.00044
Mark_81         2460830.37877   0.18   0.06  -11.38    9.84  0.00169  0.00062 -0.00071  0.00034
