#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_0          2460507.29355   1.83   0.07   65.16    1.11 -0.01187  0.00086  0.01399  0.00058
Mark_1          2460508.28233   1.10   0.04   66.43    1.08 -0.00747  0.00037  0.00805  0.00045
Mark_3          2460426.43690   0.38   0.12   67.14    9.40 -0.00267  0.00119  0.00274  0.00117
Mark_4          2460426.43999   1.16   0.69   60.89   21.96 -0.00614  0.00130  0.00990  0.00807
Mark_5          2460426.43407   0.22   0.13   19.82   21.54  0.00171  0.00135  0.00142  0.00122
Mark_7          2460461.37717   0.48   0.06   46.04    3.54 -0.00017  0.00044  0.00482  0.00059
Mark_8          2460426.41826   0.62   0.59  -35.05   61.44  0.00211  0.00104 -0.00584  0.00622
Mark_9          2460426.42202   0.13   0.09  -26.22   27.62  0.00077  0.00080 -0.00101  0.00091
Mark_10         2460459.30401   1.38   0.11   63.07    2.37 -0.00814  0.00075  0.01115  0.00130
Mark_12         2460426.35266   0.39   0.48   12.61   61.44  0.00350  0.00531  0.00165  0.00121
Mark_13         2460432.30412   0.81   0.17    9.70    6.36  0.00760  0.00168  0.00267  0.00208
Mark_14         2460459.34708   0.55   0.12   28.25    6.76  0.00301  0.00195  0.00455  0.00075
Mark_15         2460426.44318   0.65   0.19   80.88    9.02 -0.00618  0.00199  0.00204  0.00116
Mark_16         2460426.42582   0.86   0.37    4.49   14.15  0.00851  0.00375  0.00134  0.00089
Mark_17         2460459.38080   0.16   0.08   54.40   17.17 -0.00053  0.00154  0.00156  0.00069
Mark_18         2460426.42901   0.34   0.05   48.95    3.89 -0.00047  0.00066  0.00338  0.00045
Mark_19         2460426.43140   0.32   0.07   51.99    5.95 -0.00078  0.00057  0.00313  0.00066
Mark_20         2460459.38410   0.17   0.04   49.28    7.33 -0.00026  0.00046  0.00170  0.00042
Mark_21         2460460.41860   0.43   0.06   57.93    4.36 -0.00187  0.00043  0.00385  0.00068
Mark_29         2460426.34069   0.62   0.09   42.76    4.47  0.00048  0.00080  0.00614  0.00095
Mark_30         2460432.37998   0.40   0.09   20.73    6.28  0.00302  0.00101  0.00267  0.00060
Mark_33         2460461.41779   0.24   0.07   14.43    8.69  0.00213  0.00068  0.00117  0.00074
Mark_34         2460426.34805   0.34   0.05   55.96    4.67 -0.00126  0.00040  0.00314  0.00056
Mark_35         2460438.31047   0.45   0.06   34.48    4.10  0.00162  0.00095  0.00423  0.00058
Mark_36         2460459.36682   0.17   0.06   49.55   11.77 -0.00027  0.00065  0.00167  0.00063
Mark_41         2460459.31419   0.35   0.09   48.28    8.11 -0.00040  0.00071  0.00349  0.00095
Mark_43         2460426.35778   0.51   0.26  -39.03   17.94  0.00104  0.00295 -0.00494  0.00258
Mark_44         2460438.44333   0.25   0.04   54.70    4.78 -0.00082  0.00051  0.00234  0.00039
Mark_45         2460438.43699   0.08   0.03   36.22   12.62  0.00024  0.00037  0.00077  0.00031
Mark_47         2460461.31411   0.23   0.07   40.69    9.91  0.00034  0.00067  0.00223  0.00072
Mark_48         2460460.43270   0.37   0.07   64.69    5.59 -0.00235  0.00078  0.00286  0.00065
Mark_51         2460461.38112   0.08   0.06   43.31   28.21  0.00005  0.00075  0.00082  0.00057
Mark_53         2460461.42287   0.12   0.06  -24.45   19.16  0.00078  0.00042 -0.00089  0.00076
Mark_54         2460461.35736   0.30   0.04   49.34    4.28 -0.00046  0.00022  0.00300  0.00045
Mark_55         2460438.32266   0.52   0.06   52.83    3.50 -0.00140  0.00061  0.00499  0.00063
Mark_56         2460460.35637   0.33   0.03   53.77    2.62 -0.00101  0.00037  0.00319  0.00030
Mark_59         2460481.35127   0.10   0.06   44.17   19.80  0.00003  0.00062  0.00101  0.00056
Mark_60         2460460.31475   0.23   0.03   47.74    3.82 -0.00022  0.00067  0.00232  0.00030
Mark_64         2460460.34562   0.40   0.06   42.75    4.22  0.00031  0.00050  0.00399  0.00058
Mark_65         2460431.28145   0.60   0.01   44.75    0.65  0.00005  0.00069  0.00597  0.00013
Mark_66         2460460.42529   0.52   0.07   62.08    3.92 -0.00290  0.00074  0.00428  0.00068
Mark_67         2460459.40329   0.41   0.05   46.80    3.90 -0.00025  0.00046  0.00405  0.00055
Mark_68         2460459.40742   0.20   0.06   31.28    8.96  0.00091  0.00052  0.00176  0.00060
Mark_69         2460460.40407   0.28   0.06   46.81    6.30 -0.00018  0.00027  0.00283  0.00060
Mark_70         2460459.30005   0.27   0.04   40.55    4.12  0.00041  0.00069  0.00264  0.00037
Mark_71         2460459.39899   0.16   0.03   36.21    5.04  0.00049  0.00070  0.00156  0.00020
Mark_72         2460459.35757   0.42   0.05   22.81    3.41  0.00296  0.00052  0.00303  0.00048
Mark_74         2460459.39503   0.18   0.07   38.81   13.04  0.00038  0.00049  0.00174  0.00073
Mark_75         2460461.37286   0.27   0.08   40.40    9.45  0.00044  0.00041  0.00269  0.00085
Mark_78         2460461.39199   0.16   0.08   19.44   15.98  0.00127  0.00092  0.00102  0.00045
Mark_79         2460461.35341   0.27   0.04   44.64    4.75  0.00003  0.00050  0.00272  0.00044
Mark_83         2460460.30471   0.39   0.06   36.61    4.51  0.00113  0.00100  0.00375  0.00056
Mark_84         2460460.31873   0.28   0.02   57.87    2.50 -0.00122  0.00039  0.00253  0.00019
Mark_85         2460426.36178   0.33   0.08   43.75    6.76  0.00015  0.00074  0.00333  0.00076
Mark_89         2460438.38881   0.29   0.10   39.36   11.28  0.00057  0.00103  0.00285  0.00104
Mark_92         2460432.36662   0.30   0.06   10.51    6.10  0.00281  0.00055  0.00108  0.00098
Mark_95         2460432.31264   0.29   0.08   30.63    8.13  0.00139  0.00045  0.00253  0.00085
Mark_96         2460460.41568   0.45   0.04   59.88    2.29 -0.00225  0.00048  0.00393  0.00031
Mark_99         2460426.36532   0.08   0.09   -6.09   61.44  0.00074  0.00090 -0.00016  0.00060
Mark_104        2460460.38140   0.28   0.03   52.35    3.37 -0.00071  0.00063  0.00272  0.00030
Mark_105        2460459.35372   0.26   0.06   40.47    6.91  0.00041  0.00038  0.00259  0.00061
Mark_106        2460461.38732   0.31   0.08   35.31    7.73  0.00103  0.00045  0.00292  0.00083
Mark_110        2460438.38383   0.43   0.08   46.31    5.59 -0.00020  0.00078  0.00429  0.00082
Mark_112        2460459.42239   0.41   0.06   50.07    4.31 -0.00072  0.00076  0.00402  0.00060
Mark_116        2460459.32306   0.31   0.04   28.18    3.72  0.00170  0.00050  0.00255  0.00033
Mark_118        2460461.40406   0.42   0.06   58.32    3.84 -0.00189  0.00068  0.00377  0.00052
Mark_119        2460460.43713   0.31   0.07   39.32    6.83  0.00062  0.00058  0.00307  0.00072
Mark_121        2460460.33245   0.45   0.04   52.49    2.78 -0.00118  0.00038  0.00439  0.00044
Mark_122        2460432.38738   0.19   0.08   30.62   13.38  0.00090  0.00078  0.00165  0.00077
Mark_123        2460461.33009   0.41   0.06   36.28    4.15  0.00122  0.00052  0.00390  0.00059
Mark_124        2460460.29936   0.68   0.05   45.70    2.31 -0.00017  0.00079  0.00684  0.00055
Mark_127        2460459.42650   0.17   0.06    3.77   10.59  0.00173  0.00060  0.00023  0.00036
Mark_128        2460461.39760   0.28   0.06   27.99    6.37  0.00157  0.00057  0.00232  0.00062
Mark_131        2460459.41224   0.14   0.05   34.52   10.54  0.00050  0.00055  0.00132  0.00047
Mark_132        2460460.38516   0.50   0.06   55.95    3.38 -0.00186  0.00077  0.00463  0.00055
Mark_141        2460460.32760   0.30   0.05   50.80    4.96 -0.00061  0.00022  0.00295  0.00052
Mark_144        2460461.40938   0.27   0.06   67.91    6.98 -0.00194  0.00062  0.00188  0.00064
Mark_149        2460461.36106   0.21   0.04   52.00    5.06 -0.00052  0.00046  0.00207  0.00036
Mark_150        2460460.41163   0.28   0.04   61.11    4.48 -0.00147  0.00038  0.00233  0.00044
Mark_151        2460461.43247   0.27   0.05   55.23    5.46 -0.00093  0.00047  0.00250  0.00050
Mark_154        2460461.42809   0.38   0.06   56.90    4.54 -0.00154  0.00083  0.00349  0.00054
