#name,ra,dec,filter,utc,exposure,repetitions,free_exp,observed,skipped
Mark_28,189.36665,22.52931,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_31,192.29980,21.96649,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_32,193.62946,21.25832,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_37,195.17595,20.78497,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_38,193.62340,20.43815,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_39,187.28635,18.27635,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_40,189.88370,19.72738,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_42,192.33954,19.18539,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_49,187.53548,19.29536,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_50,187.34180,18.89042,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_52,189.10814,19.70690,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_57,191.36810,19.47682,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_58,188.75410,18.91152,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_61,193.54156,22.17991,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_62,188.00815,18.78689,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_63,187.75792,21.69560,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_73,188.73401,21.99452,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_77,185.96028,20.28696,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_80,189.72346,20.18244,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_87,190.80537,20.86677,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_88,187.49902,19.55612,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_90,191.61064,21.57351,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_91,193.33429,21.74597,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_93,189.10294,19.64299,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_94,189.24182,19.70962,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_97,190.65929,19.71620,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_98,195.12462,22.61013,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_100,194.00246,20.38402,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_101,191.32899,22.14861,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_102,188.37524,17.99445,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_103,191.13774,20.26335,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_107,186.02057,17.88173,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_108,193.97412,22.03127,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_109,190.28119,21.60130,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_111,191.00832,21.68972,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_113,191.04074,21.14195,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_114,187.38037,20.80671,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_115,191.09172,22.39281,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_117,194.31712,22.01648,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_120,195.09740,21.72684,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_125,191.85338,21.68842,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_126,195.20490,20.17521,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_129,186.98280,20.51086,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_130,192.94061,19.81933,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_133,194.36407,20.43414,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_134,194.34618,22.46027,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_135,192.91014,22.62358,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_136,193.30322,19.49583,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_137,190.60446,20.27534,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_138,189.93605,22.24639,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_139,191.75278,22.51165,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_140,186.35776,20.60701,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_143,194.08269,20.00325,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_145,192.72513,22.37019,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_146,187.69969,18.64348,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_147,192.80292,22.04250,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_148,192.55705,20.27836,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_152,190.94728,22.75233,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_153,190.80110,22.10634,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_155,192.26636,20.52723,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_156,192.50128,21.65202,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_157,190.67151,20.98985,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_158,193.49431,20.72944,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_159,186.29079,20.79029,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_160,189.89764,22.36118,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_161,194.36409,20.68373,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_162,191.30893,20.53182,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_165,186.35069,20.98270,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_169,193.73550,21.98950,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_170,190.40758,21.16169,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_172,189.88481,20.62816,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_173,193.20348,20.71221,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_174,192.85049,20.12852,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_176,186.29753,19.95964,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_177,188.22676,19.65832,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_178,188.46078,20.15240,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_179,191.60573,19.87952,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_180,191.94872,20.27622,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_181,192.40340,20.92901,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_185,189.58362,23.07223,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_186,186.03241,18.86056,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_187,188.88429,18.97851,R,2024-05-16T23:00:00,12,6,False,False,False
