#name,ra,dec,filter,utc,exposure,repetitions,free_exp,observed,skipped
Mark_0,194.58873,21.12631,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_1,194.20181,21.14241,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_2,193.98224,21.10127,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_3,194.76712,21.33237,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_4,195.19397,21.06210,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_5,193.23315,21.16364,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_6,192.86086,21.30113,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_7,193.25519,21.41340,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_8,187.88229,20.72047,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_9,188.00117,20.81871,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_10,179.84392,15.83708,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_11,179.44920,17.01651,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_12,173.47864,16.05583,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_13,174.02271,15.99841,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_14,190.49023,20.28698,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_15,195.18161,21.12106,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_16,189.71344,20.96878,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_17,196.81131,20.59822,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_18,190.53494,20.30323,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_19,192.17618,21.61724,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_20,197.45290,21.41339,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_21,198.67410,20.79252,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_22,187.85176,21.36691,R,2024-05-16T23:00:00,13,6,False,False,False    
Mark_23,189.25978,19.87278,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_24,189.47340,18.62513,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_25,190.68454,19.24700,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_26,191.36523,19.06019,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_27,188.06802,21.52798,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_28,189.36665,22.52931,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_29,172.79477,15.85788,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_30,184.34332,18.37268,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_31,192.29980,21.96649,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_32,193.62946,21.25832,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_33,196.11522,22.33433,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_34,173.76079,16.01056,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_35,178.98677,15.56845,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_36,194.58836,20.00117,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_37,195.17595,20.78497,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_38,193.62340,20.43815,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_39,187.28635,18.27635,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_40,189.88370,19.72738,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_41,179.99248,16.91588,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_42,192.33954,19.18539,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_43,173.36790,15.93255,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_44,198.84341,21.31182,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_45,198.83101,21.90661,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_47,184.61546,19.20315,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_48,199.35889,21.29277,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_49,187.53548,19.29536,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_50,187.34180,18.89042,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_51,194.34177,21.59279,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_52,189.10814,19.70690,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_53,196.76332,22.12418,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_54,187.90747,18.47875,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_55,179.33209,15.55869,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_56,185.62071,19.46568,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_57,191.36810,19.47682,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_58,188.75410,18.91152,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_59,195.59358,20.45045,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_60,184.56752,18.84387,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_61,193.54156,22.17991,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_62,188.00815,18.78689,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_63,187.75792,21.69560,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_64,185.18335,18.78271,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_65,173.07893,15.94011,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_66,199.01280,20.92477,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_67,199.27654,21.01030,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_68,199.40179,21.88462,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_69,197.53357,20.92600,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_70,179.81372,16.97037,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_71,198.32007,21.59244,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_72,192.54263,20.07625,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_73,188.73401,21.99452,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_74,198.03603,21.65340,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_75,191.89113,20.23809,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_76,187.65404,18.06968,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_77,185.96028,20.28696,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_78,195.46664,21.80978,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_79,187.62355,18.77921,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_80,189.72346,20.18244,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_81,188.01074,18.02063,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_83,184.34114,19.05303,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_84,184.58350,19.01308,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_85,174.02637,15.67919,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_86,191.77885,20.02359,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_87,190.80537,20.86677,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_88,187.49902,19.55612,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_89,185.97070,19.05754,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_90,191.61064,21.57351,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_91,193.33429,21.74597,R,2024-05-16T23:00:00,15,6,False,False,False
