Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec
Mark_0,2460507.29355,1.84,0.07,65.1,1.11,-0.01185,0.00086,0.01401,0.00058,194.58873,21.12631
Mark_1,2460508.28233,1.1,0.04,66.38,1.09,-0.00745,0.00036,0.00806,0.00046,194.20181,21.14241
Mark_2,2460643.65069,1.0,0.06,84.35,1.74,-0.00984,0.00058,0.00197,0.00101,193.98224,21.10127
Mark_3,2460426.4369,0.38,0.12,67.08,9.4,-0.00267,0.00119,0.00275,0.00117,194.76712,21.33237
Mark_4,2460426.43999,1.16,0.69,60.84,22.0,-0.00612,0.00131,0.00991,0.00807,195.19397,21.0621
Mark_5,2460426.43407,0.22,0.13,19.77,21.54,0.00171,0.00135,0.00142,0.00123,193.23315,21.16364
Mark_7,2460461.37717,0.48,0.06,45.98,3.54,-0.00017,0.00044,0.00482,0.00059,193.25519,21.4134
Mark_8,2460426.41826,0.62,0.59,-35.12,61.44,0.0021,0.00105,-0.00584,0.00622,187.88229,20.72047
Mark_9,2460426.42202,0.13,0.09,-26.28,27.64,0.00077,0.0008,-0.00101,0.00091,188.00117,20.81871
Mark_10,2460459.30401,1.38,0.11,63.02,2.37,-0.00812,0.00075,0.01117,0.00129,179.84392,15.83708
Mark_11,2460438.33242,0.16,0.05,-0.39,10.19,0.00165,0.00054,-2e-05,0.00106,179.4492,17.01651
Mark_12,2460426.35266,0.39,0.48,12.54,61.44,0.00351,0.00531,0.00164,0.00121,173.47864,16.05583
Mark_13,2460432.30412,0.81,0.17,9.65,6.37,0.0076,0.00169,0.00266,0.00208,174.02271,15.99841
Mark_14,2460459.34708,0.55,0.12,28.2,6.78,0.00302,0.00195,0.00455,0.00075,190.49023,20.28698
Mark_15,2460426.44318,0.65,0.19,80.83,9.02,-0.00618,0.00199,0.00205,0.00116,195.18161,21.12106
Mark_16,2460426.42582,0.86,0.37,4.44,14.16,0.00851,0.00375,0.00133,0.00089,189.71344,20.96878
Mark_17,2460459.3808,0.16,0.08,54.35,17.15,-0.00053,0.00154,0.00156,0.00069,196.81131,20.59822
Mark_18,2460426.42901,0.34,0.05,48.9,3.88,-0.00046,0.00066,0.00338,0.00045,190.53494,20.30323
