Name,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
Mark_44,198.84341,21.31182,3943509370550073088,712.6661,704.053,720.8606
Mark_263_merged,197.93994,21.26627,3943541599984583168,2377.165,2293.0757,2465.068
Mark_106,194.83186,22.69265,3944543873553057792,677.2185,669.0891,686.05066
Mark_27,188.06802,21.52798,3949617982275960576,399.34607,396.07434,403.15488
Mark_54,187.90747,18.47875,3947802654219709056,1120.514,1066.3673,1183.1942
Mark_275,184.08626,18.35714,3950225428090483968,497.78534,493.56302,502.0689
Mark_51,194.34177,21.59279,3942828601053975040,891.9019,877.4112,902.9073
Mark_212,174.04788,16.17833,3972671064618294272,370.91803,368.43222,373.2769
Mark_305,179.28236,16.80997,3926185293544329216,636.0663,624.99774,645.2355
Mark_285,193.8681,21.30298,3942841176718145408,576.9151,566.32166,585.42017
Mark_276,185.66374,18.43422,3947271590102586880,297.73056,295.59634,300.05087
Mark_219,178.69035,16.60255,3926131932870192384,656.1129,650.52637,662.75055
Mark_290,192.14723,19.79486,3942175078829916800,614.5708,608.2452,621.83606
Mark_4,195.19397,21.0621,3944050639508731264,2713.152,2611.7837,2846.595
Mark_53,196.76332,22.12418,3944219689421422208,206.28911,205.6909,206.94765
Mark_110,185.77832,18.27509,3947078655875746432,762.17694,749.43933,772.6609
Mark_230_merged,195.31955,20.94358,3944045137654653056,571.68536,563.687,578.7461
Mark_71,198.32007,21.59244,3943577127954092416,399.5704,396.49802,402.8425
Mark_124,180.18828,16.48499,3925376701525135744,2909.8767,2755.5034,3056.7322
Mark_75,191.89113,20.23809,3954305853179854336,677.55634,670.1459,685.64996
Mark_223,184.88745,18.07525,3947155381171521408,644.25854,635.7074,653.69366
Mark_248,174.27348,15.68174,3972502839339169024,252.63031,251.571,253.73105
Mark_123,185.54079,19.79519,3951930117790328960,469.7889,465.60196,474.60095
Mark_238,184.89882,17.43383,3946557044983708544,557.6075,551.1063,563.59247
Mark_217,195.918,21.60229,3944093245584375680,398.1753,395.11874,400.85013
Mark_30,184.34332,18.37268,3950222885469862912,570.7784,565.52,575.0776
Mark_7,193.25519,21.4134,3954771530713595008,213.29884,212.39601,214.24242
Mark_16,189.71344,20.96878,3955304622055819776,579.3156,572.38574,586.9001
Mark_168,196.41862,21.67955,3944179591606733696,926.2584,910.1009,943.3891
Mark_78,195.46664,21.80978,3944161071707863936,2308.7092,2216.1445,2403.4592
Mark_222,193.55878,20.50641,3942636323957434880,307.6024,305.3568,309.3565
Mark_289,196.73454,21.68843,3943450203080467200,403.63095,401.13034,406.49615
Mark_310,180.15356,15.65528,3925117117997723776,613.1674,593.6347,632.6943
Mark_128,195.46991,20.37368,3941748743196409984,628.8739,615.9408,646.72986
Mark_67,199.27654,21.0103,3940484888939827072,2571.8606,2492.7427,2679.8677
Mark_141,184.92867,18.98709,3950362725309458048,372.1332,369.61053,373.8828
Mark_35,178.98677,15.56845,3925242634122144384,296.05624,283.40295,311.21234
Mark_45,198.83101,21.90661,3943684570856057984,274.9302,273.52054,276.52588
Mark_47,184.61546,19.20315,3950431483441507072,438.56967,434.6754,441.89313
Mark_104,195.82549,20.35185,3941704659652114432,1443.9548,1396.7832,1498.0509
Mark_24_merged,189.4734,18.62513,3948040114370324992,555.52606,549.73535,561.53534
Mark_216,185.22177,18.36675,3947190428104948096,282.3701,280.54486,283.64334
Mark_234,198.82893,21.44806,3943515830181208704,1277.1257,1247.9319,1309.376
Mark_284,199.64702,20.95893,3940516667402643328,2605.717,2492.678,2755.8022
Mark_132,196.40727,21.11963,3943304479134361472,1444.5686,1396.3965,1492.6505
Mark_277,178.80257,16.72225,3926134784728480256,267.09735,264.37018,269.59293
Mark_86,191.77885,20.02359,3954204972987975424,252.45554,251.44989,253.4212
Mark_56,185.62071,19.46568,3947405043326381440,945.3661,930.9523,963.11304
Mark_66,199.0128,20.92477,3940477535955812224,490.5023,486.46906,494.35477
Mark_79,187.62355,18.77921,3948575748332376448,924.56616,911.102,937.14325
Mark_76,187.65404,18.06968,3947719022616508288,1636.3236,1596.3295,1689.1663
Mark_59,195.59358,20.45045,3941754653071412096,1179.8351,1157.9346,1211.8119
Mark_116,184.40889,19.57923,3950456909647893888,808.7056,787.84296,835.5669
Mark_164,172.63016,15.81605,3967312319822453248,3306.9236,3122.7666,3453.8179
Mark_269,185.14743,18.55286,3947241765849806464,1153.9628,1128.8248,1174.6285
Mark_17,196.81131,20.59822,3943038745213593088,295.2673,277.70007,322.64917
Mark_166,172.40683,15.99918,3967368394915479040,1027.5295,1007.7968,1055.837
Mark_261,173.92517,16.22557,3972673809101621760,644.2046,638.1974,649.98834
Mark_274,179.92549,17.12649,3926582011083609856,2714.0627,2591.6147,2860.5173
Mark_14,190.49023,20.28698,3954447376646676096,430.2906,417.17792,444.7281
Mark_65,173.07893,15.94011,3973310946025894400,603.2357,592.0809,616.0976
Mark_48,199.35889,21.29277,3940586731204294400,1104.5231,1090.0397,1119.6233
Mark_43,173.3679,15.93255,3972560353245532928,432.91632,430.2104,436.08838
Mark_2,193.98224,21.10127,3942782387205873536,368.199,364.5548,371.90714
Mark_26_merged,191.36523,19.06019,3936120858568898944,482.413,475.37354,488.49133
Mark_89,185.9707,19.05754,3947332990955068928,245.71324,244.65047,246.72578
Mark_68,199.40179,21.88462,3943644473041445248,491.17834,488.05133,494.29596
Mark_121,184.94878,18.51457,3947243724354865280,1716.1052,1651.1483,1776.1489
Mark_236,189.40477,22.63134,3955799157473550976,497.67053,493.4668,501.53543
Mark_242,197.9319,20.97835,3943110900664214656,2585.978,2471.675,2700.082
Mark_13,174.02271,15.99841,3972526577623362560,300.18857,299.05228,301.66394
Mark_192,196.62993,20.90077,3943247618063320576,898.4979,874.1532,919.49207
Mark_184,187.15863,18.2637,3947782210175325568,202.71027,202.11923,203.37535
Mark_10,179.84392,15.83708,3925221017550590208,384.43143,377.26996,392.86252
Mark_297,199.78589,21.63083,3940624733074959360,415.60843,410.96356,421.0397
Mark_72,192.54263,20.07625,3942279532434147840,284.23035,282.93503,285.9635
Mark_122,184.34711,19.69882,3950652038602110336,670.89667,663.43945,678.43427
Mark_33,196.11522,22.33433,3944294078254914816,250.60619,249.20541,251.94455
Mark_151,197.65523,20.61476,3943072757058707840,553.38336,548.26196,557.81573
Mark_70,179.81372,16.97037,3926204363199140352,406.5582,404.32043,408.9606
Mark_183,190.74332,20.88957,3954509297190984448,606.85266,599.53955,614.13794
Mark_206,199.19226,21.83499,3943645916150426880,277.60406,276.55142,278.66135
Mark_259,185.06711,18.59069,3947245682859954560,476.76694,423.62003,559.014
Mark_36,194.58836,20.00117,3942382920887888128,597.6975,590.6506,605.2365
Mark_154,197.63448,20.63803,3943075780715683840,710.23645,702.6107,718.4233
Mark_83,184.34114,19.05303,3950335344893535616,507.19623,504.16638,510.55478
Mark_127,199.97675,21.85439,1442634851362334976,283.90445,282.76242,285.23843
Mark_171,197.54263,22.04166,3943828263281804288,671.21124,663.08746,680.07275
Mark_298,185.86821,20.17248,3951968738136265344,233.77052,232.71672,234.66042
Mark_149,187.94492,18.38639,3947754103909441152,352.74768,350.15677,355.7748
Mark_188,172.38278,16.02621,3967368669793386112,437.9971,433.49075,442.08334
Mark_163,172.77328,16.05559,3973325235381575680,379.1181,375.9116,382.5002
Mark_118,195.64954,20.84596,3943279194662795648,254.33171,253.174,255.55095
