Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_207,2460461.36448,0.25,0.04,72.05,4.22,-0.20400000000000001,0.031,0.148,0.045,188.71802,20.24956,3949160722878384768,202.70416,201.85304,203.67053,6.534313308006382,0.9087450000000104,0.004483109769429549,0.00973494917314906
Mark_184,2460459.33311,0.19,0.07,30.61,12.24,0.092,0.068,0.168,0.075,187.15863,18.2637,3947782210175325568,202.71027,202.11923,203.37535,6.53437876051839,0.628060000000005,0.003098313667087538,0.006727902644107732
Mark_273,2460432.318,0.25,0.07,43.78,8.03,0.01,0.08499999999999999,0.245,0.065,174.25673,15.47786,3972305373922180608,203.38612,199.22438,206.88231,6.541606556771054,3.8289649999999966,0.01882608803393268,0.040880330744809006
Mark_53,2460461.42287,0.12,0.06,-24.5,19.19,0.078,0.042,-0.089,0.076,196.76332,22.12418,3944219689421422208,206.28911,205.6909,206.94765,6.5723815108851475,0.6283750000000055,0.003046089054337408,0.006614498338423153
Mark_240,2460460.31032,0.23,0.04,32.55,5.28,0.099,0.044000000000000004,0.213,0.042,184.3497,19.55028,3950456531690771072,211.87555,210.84985,213.07564,6.630404214589003,1.1128949999999946,0.005252588134874433,0.011405850213432297
Mark_7,2460461.37717,0.48,0.06,45.98,3.54,-0.017,0.044000000000000004,0.482,0.059000000000000004,193.25519,21.4134,3954771530713595008,213.29884,212.39601,214.24242,6.644942467988615,0.92320500000001,0.004328223257097929,0.009398617385014749
Mark_64,2460460.34562,0.4,0.06,42.69,4.22,0.032,0.05,0.39899999999999997,0.058,185.18335,18.78271,3947354603230430080,220.85123,219.76611,221.84021,6.720499111717244,1.0370500000000078,0.004695694925493546,0.010196571974214738
Mark_189,2460460.33664,0.25,0.06,45.6,6.9,-0.005,0.045,0.25,0.058,185.06535,19.8305,3950481854817995264,222.73576,221.9401,223.68681,6.738949740848536,0.8733550000000037,0.003921036298796402,0.008514422139548136
Mark_60,2460460.31475,0.23,0.03,47.69,3.82,-0.022000000000000002,0.067,0.232,0.03,184.56752,18.84387,3950281400104314752,223.95547,222.97186,224.88979,6.750808371675456,0.9589650000000063,0.004281944977722609,0.009298125378191356
Mark_298,2460461.34905,0.25,0.03,35.12,3.55,0.08499999999999999,0.043,0.23800000000000002,0.029,185.86821,20.17248,3951968738136265344,233.77052,232.71672,234.66042,6.843948714442112,0.9718499999999892,0.004157282107256249,0.009027423394482557
