# GID   RA    DEC     l     b     RP
3954447376646676096 190.49023 20.28698 284.84923 82.82366 11.80
3944098326529645184 195.18161 21.12106 322.85052 83.63045 11.23
3955304622055819776 189.71344 20.96878 277.26800 83.20441 12.30
3943038745213593088 196.81131 20.59822 332.71768 82.53816 10.55
3954448858411184512 190.53494 20.30323 285.13276 82.85146 10.24
3955014350985048448 192.17618 21.61724 296.34465 84.45399 10.16
3943371484919989504 197.45290 21.41339 340.13467 82.91698 11.03
3940465510047354752 198.67410 20.79252 344.13926 81.73407 9.21
3949609117463457792 187.85176 21.36691 263.47502 82.65083 11.95
3948371857645007232 189.25978 19.87278 277.72625 82.03032 11.00
3948040114370324992 189.47340 18.62513 282.10164 80.94417 11.68
3948125670118919936 190.68454 19.24700 288.25623 81.86973 9.56
3936120858568898944 191.36523 19.06019 292.96152 81.81599 10.81
3949617982275960576 188.06802 21.52798 263.97606 82.90081 11.67
3955784902478017920 189.36665 22.52931 267.60450 84.41524 10.72
3967301805742507776 172.79477 15.85788 240.02295 68.24148 9.90
3950222885469862912 184.34332 18.37268 259.30611 78.24678 11.95
3955048401485762048 192.29980 21.96649 297.18092 84.81322 12.37
3942837362787168384 193.62946 21.25832 309.91609 84.08826 12.06
3944294078254914816 196.11522 22.33433 335.29638 84.36817 12.05
3972575613264978304 173.76079 16.01056 241.14092 69.09049 9.45
3925242634122144384 178.98677 15.56845 252.01321 72.68989 12.05
3942382920887888128 194.58836 20.00117 315.82278 82.69921 12.46
3942529636970409472 195.17595 20.78497 321.86929 83.31336 12.36
3942632643170290816 193.62340 20.43815 309.05485 83.27354 11.66
3947778842920967296 187.28635 18.27635 271.65935 79.76740 11.86
3948397863671032192 189.88370 19.72738 282.07094 82.11256 11.82
3925449788984636800 179.99248 16.91588 250.91304 74.31792 12.14
3941904736408161920 192.33954 19.18539 299.38242 82.04280 9.91
3972560353245532928 173.36790 15.93255 240.71337 68.73680 10.73
3943509370550073088 198.84341 21.31182 347.37512 82.02715 12.24
3943684570856057984 198.83101 21.90661 350.34599 82.46698 9.55
3948805374464063744 187.72159 19.89165 268.80334 81.36768 10.91
3950431483441507072 184.61546 19.20315 257.50949 79.04118 12.43
3940586731204294400 199.35889 21.29277 349.76007 81.68520 11.78
3948744970043744256 187.53548 19.29536 269.84889 80.76769 12.25
3948593649756038784 187.34180 18.89042 270.15397 80.32614 12.24
3942828601053975040 194.34177 21.59279 316.95284 84.30242 12.49
3948362958472764928 189.10814 19.70690 277.27763 81.82078 12.29
3944219689421422208 196.76332 22.12418 339.10873 83.86643 12.47
3947802654219709056 187.90747 18.47875 274.10805 80.22298 10.65
3925198550577883776 179.33209 15.55869 252.82576 72.92024 11.33
3947405043326381440 185.62071 19.46568 260.48961 79.86064 10.72
3942150271098728192 191.36810 19.47682 292.47901 82.22722 12.19
3947890168473599872 188.75410 18.91152 277.40361 80.95827 12.45
3941754653071412096 195.59358 20.45045 324.03680 82.86974 11.64
3950281400104314752 184.56752 18.84387 258.57270 78.74254 10.18
3954931578375281024 193.54156 22.17991 310.21720 85.01302 12.08
3947917484465524736 188.00815 18.78689 273.77696 80.54077 12.11
3952626933284412928 187.75792 21.69560 261.31285 82.85399 9.17
3947354603230430080 185.18335 18.78271 261.09896 79.07019 11.15
3973310946025894400 173.07893 15.94011 240.26060 68.51311 12.25
3940477535955812224 199.01280 20.92477 346.40450 81.63248 12.36
3940484888939827072 199.27654 21.01030 348.04901 81.53239 12.04
3943644473041445248 199.40179 21.88462 352.95718 82.06990 12.14
3943153227565962880 197.53357 20.92600 338.45342 82.47252 11.57
3926204363199140352 179.81372 16.97037 250.33809 74.22891 11.42
3943577127954092416 198.32007 21.59244 346.03534 82.55984 12.39
3942279532434147840 192.54263 20.07625 300.50927 82.94204 12.15
3955658630439494144 188.73401 21.99452 265.88981 83.64251 12.18
3943592108799973120 198.03603 21.65340 344.76527 82.77705 11.68
3954305853179854336 191.89113 20.23809 295.39863 83.05311 12.21
3947719022616508288 187.65404 18.06968 273.94016 79.74927 12.09
3951976915753999104 185.96028 20.28696 258.77144 80.69276 10.71
3944161071707863936 195.46664 21.80978 327.52943 84.17672 11.58
3948575748332376448 187.62355 18.77921 271.86310 80.36226 11.77
3948476757926115712 189.72346 20.18244 279.81602 82.48472 11.19
3947726341240852352 188.01074 18.02063 275.78202 79.85463 10.64
3942863716706494080 193.65800 21.58508 310.57624 84.40936 8.86
3950335344893535616 184.34114 19.05303 257.04000 78.75563 11.74
3950288031533824896 184.58350 19.01308 258.05490 78.87952 9.20
3972500189344296960 174.02637 15.67919 242.31313 69.10364 11.49
3954204972987975424 191.77885 20.02359 294.77398 82.82677 11.60
3954508232039095168 190.80537 20.86677 285.82068 83.46379 12.41
3948758954457265152 187.49902 19.55612 268.80579 80.97211 12.48
3947332990955068928 185.97070 19.05754 263.38214 79.74423 12.25
3954650962392125952 191.61064 21.57351 291.09392 84.33008 9.82
3954890930804782592 193.33429 21.74597 307.62379 84.60041 12.13
3950331427883338752 184.13316 19.01390 256.44076 78.59334 12.39
3948360415852123520 189.10294 19.64299 277.42895 81.76043 12.40
3948365294934983552 189.24182 19.70962 278.08198 81.87402 12.05
3972629077018036864 174.23676 16.17048 241.52279 69.55582 11.98
3943476728798598016 198.50754 21.06732 344.51014 82.04549 11.06
3948224591805664896 190.65929 19.71620 287.24514 82.31850 11.13
3944528239872112896 195.12462 22.61013 327.87576 85.03682 8.82
3972496237974103552 173.92136 15.51353 242.51740 68.92385 11.83
3942464044230509440 194.00246 20.38402 311.98502 83.17526 11.48
3955851835249017216 191.32899 22.14861 286.99848 84.82988 10.74
3947538599629369344 188.37524 17.99445 277.64631 79.97412 9.86
3954271733959568384 191.13774 20.26335 289.64273 82.95673 11.99
3941704659652114432 195.82549 20.35185 325.38003 82.70088 10.75
3955085200765500416 191.74118 21.92971 291.62247 84.70295 10.82
3944543873553057792 194.83186 22.69265 325.31893 85.21753 12.41
3947006058044564608 186.02057 17.88173 267.21219 78.80722 11.70
3954911993324441216 193.97412 22.03127 314.41561 84.80331 12.25
3955352279012988672 190.28119 21.60130 279.36501 83.99531 11.32
3947078655875746432 185.77832 18.27509 265.07498 79.00386 12.36
3954711053279339648 191.00832 21.68972 285.32036 84.30652 11.79
3940511650880842496 199.77525 20.89510 349.77560 81.12928 11.36
3954608184517810176 191.04074 21.14195 287.05514 83.78820 10.55
3949472674942983296 187.38037 20.80671 263.40194 81.93867 10.55
3955873752466117248 191.09172 22.39281 283.82918 85.00013 11.68
3950456909647893888 184.40889 19.57923 255.39491 79.18217 12.33
3944400284206764672 194.31712 22.01648 317.77893 84.71931 12.01
3943279194662795648 195.64954 20.84596 325.59927 83.22102 12.19
3940418127968198656 199.39124 20.75375 347.42840 81.27029 12.33
3944344312193056384 195.09740 21.72684 324.07277 84.22748 12.02
3947243724354865280 184.94878 18.51457 261.07207 78.72195 10.79
3950652038602110336 184.34711 19.69882 254.72583 79.22670 12.04
3951930117790328960 185.54079 19.79519 258.93705 80.06317 12.35
3925376701525135744 180.18828 16.48499 252.53790 74.15659 12.20
3955025174302592256 191.85338 21.68842 293.15999 84.48365 12.07
3941720568210913792 195.20490 20.17521 320.58600 82.72323 12.01
1442634851362334976 199.97675 21.85439 355.30181 81.65097 10.28
3941748743196409984 195.46991 20.37368 322.95272 82.83602 12.47
3944146709337248640 195.60942 21.68512 328.21869 84.00910 12.41
3949086643282157696 186.98280 20.51086 262.61108 81.47724 12.43
3942210572439278080 192.94061 19.81933 303.53189 82.69070 12.38
