Name,ra,dec,gid
Mark_0,194.58873,21.12631,3942609523362045312
Mark_1,194.20181,21.14241,3942777435107365632
Mark_2,193.98224,21.10127,3942782387205873536
Mark_3,194.76712,21.33237,3942619556405652608
Mark_4,195.19397,21.0621,3944050639508731264
Mark_5,193.23315,21.16364,3942750737590666624
Mark_7,193.25519,21.4134,3954771530713595008
Mark_8,187.88229,20.72047,3949433161243432704
Mark_9,188.00117,20.81871,3949432542768145280
Mark_10,179.84392,15.83708,3925221017550590208
Mark_11,179.4492,17.01651,3926214224444021760
Mark_12,173.47864,16.05583,3972586367863070208
Mark_13,174.02271,15.99841,3972526577623362560
Mark_14,190.49023,20.28698,3954447376646676096
Mark_15,195.18161,21.12106,3944098326529645184
Mark_16,189.71344,20.96878,3955304622055819776
Mark_17,196.81131,20.59822,3943038745213593088
Mark_18,190.53494,20.30323,3954448858411184512
Mark_19,192.17618,21.61724,3955014350985048448
Mark_20,197.4529,21.41339,3943371484919989504
Mark_21,198.6741,20.79252,3940465510047354752
Mark_24_merged,189.4734,18.62513,3948040114370324992
Mark_25,190.68454,19.247,3948125670118919936
Mark_26_merged,191.36523,19.06019,3936120858568898944
Mark_27,188.06802,21.52798,3949617982275960576
Mark_29_merged,172.79477,15.85788,3967301805742507776
Mark_30,184.34332,18.37268,3950222885469862912
Mark_33,196.11522,22.33433,3944294078254914816
Mark_34,173.76079,16.01056,3972575613264978304
Mark_35,178.98677,15.56845,3925242634122144384
Mark_36,194.58836,20.00117,3942382920887888128
Mark_41,179.99248,16.91588,3925449788984636800
Mark_43,173.3679,15.93255,3972560353245532928
Mark_44,198.84341,21.31182,3943509370550073088
Mark_45,198.83101,21.90661,3943684570856057984
Mark_47,184.61546,19.20315,3950431483441507072
Mark_48,199.35889,21.29277,3940586731204294400
Mark_51,194.34177,21.59279,3942828601053975040
Mark_53,196.76332,22.12418,3944219689421422208
Mark_54,187.90747,18.47875,3947802654219709056
Mark_55,179.33209,15.55869,3925198550577883776
Mark_56,185.62071,19.46568,3947405043326381440
Mark_59,195.59358,20.45045,3941754653071412096
Mark_60,184.56752,18.84387,3950281400104314752
Mark_64,185.18335,18.78271,3947354603230430080
Mark_65,173.07893,15.94011,3973310946025894400
Mark_66,199.0128,20.92477,3940477535955812224
Mark_67,199.27654,21.0103,3940484888939827072
Mark_68,199.40179,21.88462,3943644473041445248
Mark_69,197.53357,20.926,3943153227565962880
Mark_70,179.81372,16.97037,3926204363199140352
Mark_71,198.32007,21.59244,3943577127954092416
Mark_72,192.54263,20.07625,3942279532434147840
Mark_74,198.03603,21.6534,3943592108799973120
Mark_75,191.89113,20.23809,3954305853179854336
Mark_76,187.65404,18.06968,3947719022616508288
Mark_78,195.46664,21.80978,3944161071707863936
Mark_79,187.62355,18.77921,3948575748332376448
Mark_81,188.01074,18.02063,3947726341240852352
Mark_83,184.34114,19.05303,3950335344893535616
Mark_84,184.5835,19.01308,3950288031533824896
Mark_85,174.02637,15.67919,3972500189344296960
Mark_86,191.77885,20.02359,3954204972987975424
Mark_89,185.9707,19.05754,3947332990955068928
Mark_92,184.13316,19.0139,3950331427883338752
Mark_95,174.23676,16.17048,3972629077018036864
Mark_96,198.50754,21.06732,3943476728798598016
Mark_99,173.92136,15.51353,3972496237974103552
Mark_104,195.82549,20.35185,3941704659652114432
Mark_105,191.74118,21.92971,3955085200765500416
Mark_106,194.83186,22.69265,3944543873553057792
Mark_110,185.77832,18.27509,3947078655875746432
Mark_112,199.77525,20.8951,3940511650880842496
Mark_116,184.40889,19.57923,3950456909647893888
Mark_118,195.64954,20.84596,3943279194662795648
Mark_119,199.39124,20.75375,3940418127968198656
Mark_121,184.94878,18.51457,3947243724354865280
Mark_122,184.34711,19.69882,3950652038602110336
Mark_123,185.54079,19.79519,3951930117790328960
Mark_124,180.18828,16.48499,3925376701525135744
Mark_127,199.97675,21.85439,1442634851362334976
Mark_128,195.46991,20.37368,3941748743196409984
Mark_131,199.4996,21.72981,3940638747552387840
Mark_132,196.40727,21.11963,3943304479134361472
Mark_141,184.92867,18.98709,3950362725309458048
Mark_144,195.69051,20.66197,3943271669880088448
Mark_149,187.94492,18.38639,3947754103909441152
Mark_150,198.06357,21.00644,3943483635105976192
Mark_151,197.65523,20.61476,3943072757058707840
Mark_154,197.63448,20.63803,3943075780715683840
Mark_163,172.77328,16.05559,3973325235381575680
Mark_164,172.63016,15.81605,3967312319822453248
Mark_166,172.40683,15.99918,3967368394915479040
Mark_167,188.16794,18.48618,3947849589622523520
Mark_168,196.41862,21.67955,3944179591606733696
Mark_171,197.54263,22.04166,3943828263281804288
Mark_182,185.09541,20.1586,3952003647630392960
Mark_183,190.74332,20.88957,3954509297190984448
Mark_184,187.15863,18.2637,3947782210175325568
Mark_188,172.38278,16.02621,3967368669793386112
Mark_189,185.06535,19.8305,3950481854817995264
Mark_191,179.37923,16.02372,3925288573092374144
Mark_192,196.62993,20.90077,3943247618063320576
Mark_193,195.53589,21.06934,3944041912135238272
Mark_198,179.67728,16.81602,3926192680888089088
Mark_200,179.17484,17.17295,3926277446362587136
Mark_206,199.19226,21.83499,3943645916150426880
Mark_207,188.71802,20.24956,3949160722878384768
Mark_212,174.04788,16.17833,3972671064618294272
Mark_216,185.22177,18.36675,3947190428104948096
Mark_217,195.918,21.60229,3944093245584375680
Mark_219,178.69035,16.60255,3926131932870192384
Mark_221_merged,196.43092,21.19197,3943398869631331456
Mark_222,193.55878,20.50641,3942636323957434880
Mark_223,184.88745,18.07525,3947155381171521408
Mark_225,197.23097,22.05471,3943842763091327232
Mark_230_merged,195.31955,20.94358,3944045137654653056
Mark_233,184.23959,18.59977,3950247040365921280
Mark_234,198.82893,21.44806,3943515830181208704
Mark_236,189.40477,22.63134,3955799157473550976
Mark_238,184.89882,17.43383,3946557044983708544
Mark_240,184.3497,19.55028,3950456531690771072
Mark_242,197.9319,20.97835,3943110900664214656
Mark_243,178.97321,16.09546,3926048988461803392
Mark_245,179.55417,16.23754,3925386189108901760
Mark_248,174.27348,15.68174,3972502839339169024
Mark_256,178.80675,16.90822,3926242743026796032
Mark_259,185.06711,18.59069,3947245682859954560
Mark_261,173.92517,16.22557,3972673809101621760
Mark_263_merged,197.93994,21.26627,3943541599984583168
Mark_264,172.38141,16.22388,3967385093748323328
Mark_269,185.14743,18.55286,3947241765849806464
Mark_272,185.61534,18.53669,3947290792900428672
Mark_273,174.25673,15.47786,3972305373922180608
Mark_274,179.92549,17.12649,3926582011083609856
Mark_275,184.08626,18.35714,3950225428090483968
Mark_276,185.66374,18.43422,3947271590102586880
Mark_277,178.80257,16.72225,3926134784728480256
Mark_281,196.00069,21.20325,3943314791351751296
Mark_282,191.05409,21.70998,3954711023214738688
Mark_284,199.64702,20.95893,3940516667402643328
Mark_285,193.8681,21.30298,3942841176718145408
Mark_289,196.73454,21.68843,3943450203080467200
Mark_290,192.14723,19.79486,3942175078829916800
Mark_294,185.26663,19.91669,3951981107642044928
Mark_295,185.76147,19.00018,3947372843955729536
Mark_297,199.78589,21.63083,3940624733074959360
Mark_298,185.86821,20.17248,3951968738136265344
Mark_301,195.3929,21.76202,3944154818235478272
Mark_302,185.33888,19.54846,3950422824787515520
Mark_305,179.28236,16.80997,3926185293544329216
Mark_307,191.25285,19.86747,3954187758759011584
Mark_308,173.14359,16.22173,3973353960122615168
Mark_310,180.15356,15.65528,3925117117997723776
