Name,ra,dec,JD
Mark_0,194.58873,21.12631,2460507.29355
Mark_1,194.20181,21.14241,2460508.28233
Mark_2,193.98224,21.10127,2460643.65069
Mark_3,194.76712,21.33237,2460426.4369
Mark_4,195.19397,21.0621,2460426.43999
Mark_5,193.23315,21.16364,2460426.43407
Mark_7,193.25519,21.4134,2460461.37717
Mark_8,187.88229,20.72047,2460426.41826
Mark_9,188.00117,20.81871,2460426.42202
Mark_10,179.84392,15.83708,2460459.30401
Mark_11,179.4492,17.01651,2460438.33242
Mark_12,173.47864,16.05583,2460426.35266
Mark_13,174.02271,15.99841,2460432.30412
