Name,ra,dec,p_percent,sigma_p_percent,FilterID,sample,r_med_photogeo,distance_class,ebv,ebv_err,ipix
Mark_0,194.58873,21.12631,1.833570924852387,0.07103206143000276,-1,RoboPol,,robopol,0.045340043,0.00069946935,28686259
Mark_1,194.20181,21.14241,1.0967786589175852,0.041691730036788284,-1,RoboPol,,robopol,0.050059807,0.0010257548,28687481
Mark_2,193.98224,21.10127,1.0017189181049315,0.060228528766188505,-1,RoboPol,,robopol,0.053033695,0.001084138,28687517
Mark_3,194.76712,21.33237,0.3651382547813819,0.11797472071507498,-1,RoboPol,,robopol,0.036610797,0.00044403088,28686332
Mark_4,195.19397,21.0621,0.9721622588479705,0.6900628429168041,-1,RoboPol,,robopol,0.032798704,0.0002610183,28696745
Mark_5,193.23315,21.16364,0.18619050342820195,0.13023597191144484,-1,RoboPol,,robopol,0.04138901,0.00059935445,28687287
Mark_7,193.25519,21.4134,0.4786929373314335,0.058983730649344805,-1,RoboPol,,robopol,0.042900484,0.00067830196,28774750
Mark_8,187.88229,20.72047,0.43396009979687156,0.5863859631351571,-1,RoboPol,,robopol,0.05898096,0.00145824,28735908
Mark_9,188.00117,20.81871,0.10069217059806937,0.08711825093871665,-1,RoboPol,,robopol,0.056429774,0.0013619364,28735903
Mark_10,179.84392,15.83708,1.3763074859083089,0.11327970307696067,-1,RoboPol,,robopol,0.1204298,0.0041672806,28559741
Mark_11,179.4492,17.01651,0.15617348396753875,0.054011315724603846,-1,RoboPol,,robopol,0.096214205,0.0032723618,28566968
Mark_12,173.47864,16.05583,0.24442855677567463,0.4837971868758724,-1,RoboPol,,robopol,0.13729987,0.005585388,28904370
Mark_13,174.02271,15.99841,0.7864739750379954,0.1736823509169672,-1,RoboPol,,robopol,0.14726707,0.00630058,28903935
Mark_14,190.49023,20.28698,0.5318813252467675,0.1246335642106575,-1,RoboPol,,robopol,0.049438372,0.0007400323,28772391
Mark_15,195.18161,21.12106,0.6226939537805974,0.19237804393917074,-1,RoboPol,,robopol,0.035819493,0.00028885299,28697092
Mark_16,189.71344,20.96878,0.7818961184132597,0.37075722197708955,-1,RoboPol,,robopol,0.064074956,0.0016751041,28778628
Mark_17,196.81131,20.59822,0.14471597464578256,0.08199078069733814,-1,RoboPol,,robopol,0.037119903,0.00050717394,28689382
Mark_18,190.53494,20.30323,0.3380854830009181,0.04546855070028581,-1,RoboPol,,robopol,0.048663083,0.0006733523,28772402
Mark_19,192.17618,21.61724,0.3166636653019909,0.0655225712099077,-1,RoboPol,,robopol,0.046389706,0.0007727997,28776516
Mark_20,197.4529,21.41339,0.166673692663781,0.04208861262202734,-1,RoboPol,,robopol,0.044965092,0.00084136677,28691803
Mark_21,198.6741,20.79252,0.42369071542534087,0.06403967642015443,-1,RoboPol,,robopol,0.069035836,0.0025002668,28670660
Mark_24_merged,189.4734,18.62513,0.17776006667320898,0.05087660211303816,-1,RoboPol,,robopol,0.06216748,0.0009718641,28725772
Mark_25,190.68454,19.247,0.19963071114748115,0.033545584634560977,-1,RoboPol,,robopol,0.041560553,0.00016829233,28726395
Mark_26_merged,191.36523,19.06019,0.18548764759471698,0.013549028224676053,-1,RoboPol,,robopol,0.06529085,0.0013486424,28639048
Mark_27,188.06802,21.52798,0.11428397390545708,0.03099430911360164,-1,RoboPol,,robopol,0.05667907,0.0014308727,28737253
Mark_29_merged,172.79477,15.85788,0.6281615697649766,0.06637169505788885,-1,RoboPol,,robopol,0.14603804,0.0057721543,28865919
Mark_30,184.34332,18.37268,0.39335155611955125,0.08554062972160471,-1,RoboPol,,robopol,0.05580413,0.0015595643,28741654
Mark_33,196.11522,22.33433,0.23309857168954673,0.06943690879903848,-1,RoboPol,,robopol,0.06229457,0.0018604543,28698516
Mark_34,173.76079,16.01056,0.33401749250975454,0.05406453359382535,-1,RoboPol,,robopol,0.13743602,0.005867597,28904291
Mark_35,178.98677,15.56845,0.44785554242876435,0.0640229429996484,-1,RoboPol,,robopol,0.1009057,0.0034019612,28559899
Mark_36,194.58836,20.00117,0.1574271623825932,0.06305173439666037,-1,RoboPol,,robopol,0.045499954,0.001003351,28684611
Mark_41,179.99248,16.91588,0.33839248065969696,0.09474103162782264,-1,RoboPol,,robopol,0.09189989,0.003133859,28561406
Mark_43,173.3679,15.93255,0.4395665284474124,0.2596774371268808,-1,RoboPol,,robopol,0.12112195,0.004647965,28904180
Mark_44,198.84341,21.31182,0.24464628900187735,0.04048602737355034,-1,RoboPol,,robopol,0.060506843,0.0019739885,28692807
Mark_45,198.83101,21.90661,0.07479000576078894,0.03162131460552758,-1,RoboPol,,robopol,0.0633244,0.0020068442,28694081
Mark_47,184.61546,19.20315,0.2141221101815276,0.07189027099798896,-1,RoboPol,,robopol,0.062437154,0.0017338565,28743172
Mark_48,199.35889,21.29277,0.3628040654958034,0.07050135171795932,-1,RoboPol,,robopol,0.055762935,0.0015204073,28671542
Mark_51,194.34177,21.59279,0.06482236351494333,0.05707715220556184,-1,RoboPol,,robopol,0.042805932,0.0007161173,28687853
Mark_53,196.76332,22.12418,0.10183162720059441,0.06350686486546991,-1,RoboPol,,robopol,0.04979515,0.0009821124,28697975
Mark_54,187.90747,18.47875,0.3000744566719492,0.04462163673093667,-1,RoboPol,,robopol,0.06849136,0.0015007103,28724044
Mark_55,179.33209,15.55869,0.5141842113411058,0.06285811261515133,-1,RoboPol,,robopol,0.10766569,0.0036940293,28559578
Mark_56,185.62071,19.46568,0.33289791267027413,0.03069144097872967,-1,RoboPol,,robopol,0.057698384,0.0013024522,28721151
Mark_59,195.59358,20.45045,0.08612230560302757,0.056005571990878404,-1,RoboPol,,robopol,0.04127201,0.0005490311,28680039
Mark_60,184.56752,18.84387,0.2310411496678892,0.03052843981396923,-1,RoboPol,,robopol,0.055891156,0.001447907,28742080
Mark_64,185.18335,18.78271,0.3960860021640385,0.05795237842470623,-1,RoboPol,,robopol,0.06359236,0.0017242281,28720784
