sample,ebv_mid,p_p50,p_p5,p_p95,n
RoboPol,0.03711990267038345,0.27916487458628664,0.1261384408033452,0.727534445300809,15
RoboPol,0.042805932462215424,0.2189435871870294,0.07754744531446706,0.4005863040327316,15
RoboPol,0.04810754954814911,0.2736028191380751,0.1332175387450087,0.922388205128452,15
RoboPol,0.05172039568424225,0.2997920818270167,0.118591246218481,1.0302368403487274,15
RoboPol,0.05735187232494354,0.2310411496678892,0.08809797235276369,0.47091887788828724,15
RoboPol,0.061831194907426834,0.25083369581948445,0.1762249421638111,0.4390506882487629,15
RoboPol,0.06446519494056702,0.29669523652759106,0.12894892373997197,0.6575903833137678,15
RoboPol,0.07672461122274399,0.27583859570667557,0.17014170553797703,0.5011692803076565,15
RoboPol,0.10363788902759552,0.4318896658513691,0.11746864351425323,1.0279236466683275,15
RoboPol,0.13173910975456238,0.33401749250975454,0.13715200648187406,0.7878753758644655,15
Panopoulou+2025,0.041065335273742676,0.13,0.0176,0.2539,15
Panopoulou+2025,0.053111251443624496,0.15,0.0412,0.2839999999999999,15
Panopoulou+2025,0.06205759942531586,0.18,0.027,0.34199999999999986,15
Panopoulou+2025,0.0722949430346489,0.11,0.027,0.18599999999999997,15
Panopoulou+2025,0.10034089535474777,0.12,0.014240000000000001,0.2639999999999999,15
Panopoulou+2025,0.13380275666713715,0.15,0.021,0.27999999999999997,15
Panopoulou+2025,0.18189679086208344,0.1,0.0014000000000000002,0.18,15
Panopoulou+2025_foreground,0.043035589158535004,0.053,0.015600000000000001,0.19749999999999995,10
Panopoulou+2025_foreground,0.06597425788640976,0.08,0.02,0.19,10
Panopoulou+2025_foreground,0.10449276864528656,0.07,0.009440000000000002,0.2659999999999999,10
Panopoulou+2025_background,0.0436517596244812,0.185,0.10205,0.26165,10
Panopoulou+2025_background,0.05732639878988266,0.195,0.069,0.3949999999999999,10
Panopoulou+2025_background,0.07226796448230743,0.15,0.08900000000000001,0.18,10
Panopoulou+2025_background,0.09464772790670395,0.105,0.069,0.18299999999999994,10
Panopoulou+2025_background,0.1574314832687378,0.12,0.027,0.24849999999999992,10
