#Filename  optimal_apeture
17_Mark_29_00_R_3.00_2024_04_25-20_11_11.fits   14.5
17_Mark_29_01_R_3.00_2024_04_25-20_11_24.fits   15.0
17_Mark_29_02_R_3.00_2024_04_25-20_11_37.fits   14.0
17_Mark_29_03_R_3.00_2024_04_25-20_11_50.fits   15.0
17_Mark_29_04_R_3.00_2024_04_25-20_12_03.fits   15.0
17_Mark_29_05_R_3.00_2024_04_25-20_12_16.fits   14.5
17_Mark_29_06_R_3.00_2024_04_25-20_12_29.fits   14.0
17_Mark_29_07_R_3.00_2024_04_25-20_12_42.fits   14.5
17_Mark_29_08_R_3.00_2024_04_25-20_12_55.fits   14.0
16_Mark_29_00_R_7.00_2024_04_25-20_08_01.fits   17.0
16_Mark_29_01_R_7.00_2024_04_25-20_08_18.fits   17.0
16_Mark_29_02_R_7.00_2024_04_25-20_08_35.fits   18.0
16_Mark_29_03_R_7.00_2024_04_25-20_08_52.fits   18.0
16_Mark_29_04_R_7.00_2024_04_25-20_09_09.fits   16.5
16_Mark_29_05_R_7.00_2024_04_25-20_09_26.fits   16.0
16_Mark_29_06_R_7.00_2024_04_25-20_09_43.fits   16.0
16_Mark_29_07_R_7.00_2024_04_25-20_10_00.fits   17.0
16_Mark_29_08_R_7.00_2024_04_25-20_10_17.fits   16.0
