#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
Mark_29         2460426.34110   0.00361   0.00206   27.16   20.84  0.00210  0.00210  0.00293  0.00204  1029.24  1076.88  1029.58   977.32  1075.74  1022.69   976.47  1022.14
Mark_29         2460426.34125   0.00180   0.00212  -70.18   61.44 -0.00139  0.00214 -0.00115  0.00208  1028.14  1078.39  1025.81   978.68  1073.81  1025.78   977.01  1022.94
Mark_29         2460426.34140   0.00133   0.00205   13.75   61.44  0.00118  0.00206  0.00062  0.00201  1028.02  1080.24  1028.83   981.10  1076.39  1024.75   977.18  1024.25
Mark_29         2460426.34155   0.00593   0.00212   37.23   11.24  0.00159  0.00214  0.00571  0.00212  1034.20  1080.83  1031.96   981.38  1078.08  1026.37   979.00  1025.40
Mark_29         2460426.34170   0.00532   0.00213   15.91   12.91  0.00452  0.00214  0.00280  0.00211  1030.97  1082.80  1031.73   981.50  1077.11  1025.16   977.46  1026.80
Mark_29         2460426.34185   0.00364   0.00206   23.01   20.61  0.00253  0.00210  0.00262  0.00203  1029.96  1079.40  1030.69   980.03  1077.30  1024.91   977.99  1024.42
Mark_29         2460426.34200   0.00118   0.00205   16.98   61.44  0.00098  0.00206  0.00066  0.00204  1030.61  1078.20  1031.24   978.71  1077.50  1023.70   978.02  1023.10
Mark_29         2460426.34215   0.00331   0.00209  -11.60   24.29  0.00304  0.00210 -0.00130  0.00204  1028.70  1078.72  1029.27   979.40  1076.46  1023.97   977.29  1023.38
Mark_29         2460426.34230   0.00491   0.00204  -26.35   13.50  0.00298  0.00207 -0.00391  0.00202  1027.91  1081.18  1028.72   981.82  1075.92  1026.14   976.48  1025.67
Mark_29         2460426.33890   0.00558   0.00128   15.70    6.82  0.00476  0.00129  0.00291  0.00126  1033.56  1080.95  1034.19   981.64  1081.23  1025.86   981.65  1025.12
Mark_29         2460426.33910   0.00735   0.00126   17.72    5.02  0.00599  0.00127  0.00426  0.00125  1035.06  1080.41  1035.57   980.93  1082.79  1025.17   983.42  1024.39
Mark_29         2460426.33929   0.00535   0.00135   81.34    7.55 -0.00511  0.00135  0.00159  0.00133  1035.23  1081.18  1035.08   983.87  1080.24  1029.85   980.64  1026.27
