#Filename  optimal_apeture
5_CygOB2_14_00_R_7.00_2025_06_09-01_38_32.fits  13.0
5_CygOB2_14_01_R_7.00_2025_06_09-01_38_49.fits  13.0
5_CygOB2_14_02_R_7.00_2025_06_09-01_39_06.fits  13.0
5_CygOB2_14_03_R_7.00_2025_06_09-01_39_23.fits  13.0
5_CygOB2_14_04_R_7.00_2025_06_09-01_39_40.fits  14.0
5_CygOB2_14_05_R_7.00_2025_06_09-01_39_57.fits  13.0
5_CygOB2_14_06_R_7.00_2025_06_09-01_40_14.fits  14.0
5_CygOB2_14_07_R_7.00_2025_06_09-01_40_31.fits  13.0
5_CygOB2_14_08_R_7.00_2025_06_09-01_40_48.fits  13.0
5_CygOB2_14_09_R_7.00_2025_06_09-01_41_05.fits  15.0
