#Filename  optimal_apeture
2_ST_L_107_602_00_R_30.00_2025_06_06-19_54_13.fits   11.0
2_ST_L_107_602_01_R_30.00_2025_06_06-19_54_53.fits   11.0
2_ST_L_107_602_02_R_30.00_2025_06_06-19_55_39.fits   11.0
2_ST_L_107_602_03_R_30.00_2025_06_06-19_56_19.fits   11.0
2_ST_L_107_602_04_R_30.00_2025_06_06-19_56_59.fits   11.0
2_ST_L_107_602_05_R_30.00_2025_06_06-19_57_52.fits   11.0
2_ST_L_107_602_06_R_30.00_2025_06_06-19_58_32.fits   11.0
2_ST_L_107_602_07_R_30.00_2025_06_06-19_59_12.fits   11.0
2_ST_L_107_602_08_R_30.00_2025_06_06-19_59_52.fits   12.0
2_ST_L_107_602_09_R_30.00_2025_06_06-20_00_32.fits   12.0
