#Name   JD    P   sP    PA[deg]  sPA[deg]   q        sq       u        su   x0    y0    x1   y1   x2    y2    x3    y3
BD+28.4211      2460459.56866   0.00258   0.00148  -19.41   20.92  0.00201  0.00148 -0.00162  0.00147  1028.36  1080.71  1028.68   981.24  1074.45  1026.19   974.99  1025.89
BD+28.4211      2460459.56885   0.00488   0.00145   -3.83    9.10  0.00483  0.00145 -0.00065  0.00144  1029.30  1080.22  1029.85   980.64  1075.68  1025.80   976.34  1025.49
BD+28.4211      2460459.56905   0.00124   0.00146  -25.55   61.44  0.00078  0.00147 -0.00096  0.00146  1030.06  1080.72  1030.30   981.26  1076.00  1026.40   976.57  1026.05
BD+28.4211      2460459.56925   0.00253   0.00144  -29.55   20.84  0.00130  0.00145 -0.00217  0.00144  1027.60  1081.06  1028.11   981.37  1073.96  1026.69   974.53  1026.44
BD+28.4211      2460459.56944   0.00206   0.00145   -4.88   28.77  0.00203  0.00145 -0.00035  0.00144  1029.25  1080.41  1029.59   980.97  1075.17  1026.03   975.76  1025.71
BD+28.4211      2460459.56964   0.00374   0.00145  -24.14   12.37  0.00249  0.00145 -0.00279  0.00144  1028.78  1080.22  1029.12   980.72  1074.94  1026.10   975.46  1025.74
BD+28.4211      2460459.56984   0.00448   0.00147  -26.35   10.17  0.00271  0.00148 -0.00356  0.00147  1028.64  1080.62  1029.00   981.08  1074.50  1026.11   975.04  1025.83
BD+28.4211      2460459.57003   0.00170   0.00145  -71.84   61.44 -0.00137  0.00145 -0.00101  0.00144  1029.44  1081.00  1029.91   981.34  1075.47  1026.40   976.12  1026.09
BD+28.4211      2460459.57023   0.00269   0.00145   -8.08   19.20  0.00258  0.00145 -0.00075  0.00144  1029.11  1080.93  1029.46   981.38  1075.16  1026.37   975.81  1026.13
BD+28.4211      2460461.55529   0.00329   0.00102  -14.04    9.55  0.00290  0.00103 -0.00155  0.00102  1026.57  1084.08  1026.84   984.44  1072.90  1029.39   973.50  1029.10
BD+28.4211      2460461.55574   0.00330   0.00102   -1.86    9.42  0.00330  0.00102 -0.00021  0.00100  1026.59  1083.65  1026.98   984.12  1073.00  1029.12   973.55  1028.81
BD+28.4211      2460461.55618   0.00281   0.00100   -7.72   11.23  0.00271  0.00100 -0.00075  0.00099  1027.33  1083.99  1027.68   984.39  1073.64  1029.47   974.23  1029.15
BD+28.4211      2460461.55662   0.00376   0.00100  -32.29    8.03  0.00161  0.00101 -0.00340  0.00100  1026.50  1084.01  1026.93   984.40  1072.94  1029.47   973.49  1029.11
