starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
2,6050173718090474496,245.59778278494701,-23.696440780047265,10.358837,1.0,0.0,6050173718090474496,nan,nan,nan
3,6049318091886081664,245.4154907519524,-24.063266982615445,12.645869,1.0,0.0,6049318091886081664,nan,nan,nan
4,6049294005710714880,245.58289270383733,-24.363463926251814,9.304262,1.0,0.0,6049294005710714880,nan,nan,nan
5,6049246864148370176,245.65301221611276,-24.383088583409535,8.455697,1.0,0.0,6049246864148370176,nan,nan,nan
6,6049313453321383168,245.54224090773297,-24.151587583065343,13.592286,1.0,0.0,6049313453321383168,nan,nan,nan
7,6049411241135340672,245.61434605858406,-23.93453638846094,12.971244,1.0,0.0,6049411241135340672,nan,nan,nan
9,6050202958227905536,245.8418210527926,-23.467283632780145,9.65132,1.0,0.0,6050202958227905536,nan,nan,nan
10,6049396706965970432,245.7159995580504,-24.096301401556072,11.803394,1.0,0.0,6049396706965970432,nan,nan,nan
11,6049249063171628800,245.74148130132647,-24.314408408593803,13.861017,1.0,0.0,6049249063171628800,nan,nan,nan
12,6049234494642480896,245.71294738043943,-24.61275947289234,9.565607,1.0,0.0,6049234494642480896,nan,nan,nan
14,6049244321527682176,245.86216891817799,-24.42485077894618,11.534753,1.0,0.0,6049244321527682176,nan,nan,nan
15,6049430310790315392,246.01202138027116,-23.804977440184537,13.206812,1.0,0.0,6049430310790315392,nan,nan,nan
16,6049320703224679040,246.06764250343102,-24.54683865630231,13.768839,1.0,0.0,6049320703224679040,nan,nan,nan
17,6049037304105693952,246.04682846938235,-24.697306176180184,13.48382,1.0,0.0,6049037304105693952,nan,nan,nan
18,6048951366100474368,246.24640434634347,-25.355106529178535,8.529669,1.0,0.0,6048951366100474368,nan,nan,nan
19,6049376503440534400,246.35148523058965,-23.919731042563328,14.016931,1.0,0.0,6049376503440534400,nan,nan,nan
20,6049387292397752576,246.36926954098283,-23.774118211896184,11.337231,1.0,0.0,6049387292397752576,nan,nan,nan
21,6049133442650991360,246.2804685304824,-24.540879504449055,14.542612,1.0,0.0,6049133442650991360,nan,nan,nan
22,6049116846896669824,246.46049941190657,-24.654149445621456,13.686033,1.0,0.0,6049116846896669824,nan,nan,nan
24,6049118388788178816,246.59867472498806,-24.720640985836052,12.765257,1.0,0.0,6049118388788178816,nan,nan,nan
25,6049161961233192576,246.6423853434658,-24.391308440363677,14.111627,1.0,0.0,6049161961233192576,nan,nan,nan
26,6049174399459153024,246.69345331673273,-24.20012360941412,13.958482,1.0,0.0,6049174399459153024,nan,nan,nan
27,6050875614529786752,246.7200190659547,-23.720317170709375,10.308221,1.0,0.0,6050875614529786752,nan,nan,nan
28,6049044622727294848,246.80736322220184,-25.09587268154341,10.33991,1.0,0.0,6049044622727294848,nan,nan,nan
30,6049152267490979072,246.79279609509953,-24.32030163745693,12.656549,1.0,0.0,6049152267490979072,nan,nan,nan
32,6049099426509357312,246.9768120039856,-24.495688095827457,12.451184,1.0,0.0,6049099426509357312,nan,nan,nan
33,6049105473823310720,247.0156013511718,-24.44223319416679,12.986749,1.0,0.0,6049105473823310720,nan,nan,nan
34,6049156463675052800,247.0425251813007,-24.267101934510144,12.503394,1.0,0.0,6049156463675052800,nan,nan,nan
35,6050715193206503296,247.1998041148177,-23.616202424359855,10.523991,1.0,0.0,6050715193206503296,nan,nan,nan
36,6050663653598680192,247.19685791625423,-24.068033788017612,13.680254,1.0,0.0,6050663653598680192,nan,nan,nan
37,6049076577283318144,247.19149371186185,-24.798748840335843,13.0125475,1.0,0.0,6049076577283318144,nan,nan,nan
38,6049075787009330432,247.24704779948306,-24.81916716611988,13.989968,1.0,0.0,6049075787009330432,nan,nan,nan
39,6050621008867241472,247.47496826431316,-24.027487008634207,12.582472,1.0,0.0,6050621008867241472,nan,nan,nan
40,6050606131099885952,247.43797009353162,-24.330681029216205,12.8800535,1.0,0.0,6050606131099885952,nan,nan,nan
41,6050604176891560576,247.30298135601507,-24.3987328058578,10.776234,1.0,0.0,6050604176891560576,nan,nan,nan
42,6050591017111757440,247.40977542778552,-24.473582959601668,11.13749,1.0,0.0,6050591017111757440,nan,nan,nan
44,6045970937972786560,247.64200683346047,-25.4707767753504,8.518613,1.0,0.0,6045970937972786560,nan,nan,nan
45,6050627747672189312,247.76812916002152,-24.076034995538063,11.49048,1.0,0.0,6050627747672189312,nan,nan,nan
46,6050703888852451072,247.74361463553268,-23.65047211599965,13.545349,1.0,0.0,6050703888852451072,nan,nan,nan
47,6050636062728876672,247.87967438998564,-23.952412175368085,13.236198,1.0,0.0,6050636062728876672,nan,nan,nan
48,6047588590158181120,247.83408543611313,-24.50029761181943,11.37675,1.0,0.0,6047588590158181120,nan,nan,nan
49,6047590759117265280,247.9194646323652,-24.421278007327448,9.570809,1.0,0.0,6047590759117265280,nan,nan,nan
51,6047564680075648128,247.78075924349125,-24.848169557278567,12.760776,1.0,0.0,6047564680075648128,nan,nan,nan
53,6046007050057860864,247.89785825504515,-25.100359254684193,13.91632,1.0,0.0,6046007050057860864,nan,nan,nan
54,6046006633442622592,247.89687083735308,-25.142317162934123,12.426929,1.0,0.0,6046006633442622592,nan,nan,nan
56,6045989457871751680,248.06660870521532,-25.275193134350598,12.84026,1.0,0.0,6045989457871751680,nan,nan,nan
57,6045988839396450944,248.1187639161359,-25.28229900228992,13.164813,1.0,0.0,6045988839396450944,nan,nan,nan
60,6047515133333811456,248.0711537087519,-24.848310208429922,13.86003,1.0,0.0,6047515133333811456,nan,nan,nan
61,6047570826172040960,248.04912511846956,-24.67277558221826,12.554376,1.0,0.0,6047570826172040960,nan,nan,nan
62,6047571517663766144,248.09709547019548,-24.671852284242867,10.565033,1.0,0.0,6047571517663766144,nan,nan,nan
65,6050632592395286272,248.10293995182778,-24.00369181852004,12.102172,1.0,0.0,6050632592395286272,nan,nan,nan
66,6050633245230315520,248.1576088179358,-23.96576772045486,12.516221,1.0,0.0,6050633245230315520,nan,nan,nan
67,6050637467181682176,248.09023956686292,-23.87291864006336,11.939025,1.0,0.0,6050637467181682176,nan,nan,nan
