EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
3665501184671104,5973,45.593898994088654,4.352914234157361,5.6009407,5219,4,0,0,0.0,0.002,0.0,90.0,135.77502,134.30043,136.9958,135.7983,134.60677,136.85724
7352369831088512,6159,46.44007520869908,6.520751451576174,9.310172,5405,4,0,0,0.0047,0.0006,3.6,3.7,298.75815,295.0699,302.2621,298.98822,294.67435,302.1133
8900825800310016,6305,44.928756622077145,8.907313066231804,4.663585,5551,4,0,0,0.0037,0.002,-39.0,15.1,135.29407,132.92308,138.59468,136.23242,133.56317,138.68747
11166438229308672,6311,51.20302758439933,9.028538893521931,3.3823738,5557,4,0,0,7e-05,1e-05,24.9,4.1,66.53584,65.306404,68.03454,66.12189,64.81979,67.60386
12314843763993984,14624,54.47914080873418,9.932742443373881,7.025612,nan,23,3,0,0.005766,0.000873,-25.5,4.5,408.91116,406.0293,411.81555,408.9295,405.52344,411.6267
12730974556132096,6347,51.7925714099467,9.732550147153876,3.7018294,5593,4,0,0,5e-05,2e-05,-15.6,11.3,59.953663,57.50695,61.995316,59.614456,57.467197,62.05099
13631337139848448,6257,47.92529735934284,8.118840656324199,8.52248,5503,4,0,0,0.0051,0.00055,-26.9,3.1,259.2249,257.39877,261.5322,259.52136,256.89212,262.1483
19400302852196096,6217,38.76719730257708,7.470469368702623,5.8909745,5463,4,0,0,0.00029,0.00037,-31.3,32.5,113.322754,112.83538,113.90832,113.31566,112.85461,113.875694
24025879550721664,6348,34.16305437552792,9.765212467982762,9.294217,5594,4,0,0,0.0004,0.00063,-77.2,38.2,560.9422,543.5181,574.0661,562.19037,545.94867,578.7857
24333605367714560,6383,36.422540560528404,10.506047959645107,7.5866604,5629,4,0,0,0.00182,0.00014,-37.5,2.2,391.2376,385.7104,397.3714,392.1994,387.66757,396.74442
24525263988276224,6389,36.204501672929474,10.610491886630948,5.4581585,5635,4,0,0,0.00206,7e-05,-46.6,1.0,234.48134,226.82634,243.00375,235.11098,226.89658,243.16199
33141999176254080,6593,41.137396662746795,15.311787711394171,5.7472363,5839,4,0,0,0.0037,0.002,20.0,15.1,171.93689,167.27786,175.77171,172.93169,168.30762,177.94347
33260918230834048,6579,42.87341327035664,15.081958079042348,5.5005884,5825,4,0,0,0.0037,0.002,-20.0,15.1,141.27592,138.78291,143.88316,140.99942,138.2799,143.45453
34959010860789632,48731,43.823469266556074,16.308983183705624,7.2228208,nan,74,20,0,1.8e-05,9e-06,58.7,12.7,26.759096,26.741096,26.78067,26.762753,26.745092,26.78234
36147204974506368,6386,56.52607037051939,10.54888612205608,7.28593,5632,4,0,0,0.0049,0.00038,0.1,2.2,148.78139,148.2085,149.28394,148.78654,148.21909,149.2124
36290072767519232,6417,57.067886248816585,11.143196305561473,5.053788,5663,4,0,0,0.00302,6e-05,13.6,0.6,136.40587,134.55696,138.89839,136.29294,134.40614,138.2109
37011283675102592,10342,56.85312556117249,12.50815262257451,7.9424996,nan,7,3,0,0.0125,0.0008,74.5,1.9,221.08826,219.49396,222.3584,221.04996,219.90579,222.43915
37136834159399808,6478,57.81623685090313,13.04597327094363,6.262458,5724,4,0,0,0.0049,0.00035,46.3,2.0,160.55644,159.38435,161.9248,160.62912,159.47502,161.84216
39001502801541760,6532,61.379730506014866,14.286138683239336,6.947627,5778,4,0,0,0.0034,0.00036,35.7,3.0,167.45717,166.79012,168.12099,167.62099,166.94923,168.20467
48026706558487040,6798,67.15467370962931,19.180273317307044,3.2804532,6044,4,0,0,0.0008,0.0012,76.0,36.9,44.650326,44.310673,44.93807,44.641262,44.28488,44.992012
49298394834276608,6875,64.31506301993932,20.578332998961216,4.864198,6121,4,0,0,0.0008,0.0012,42.0,36.9,28.4743,28.406664,28.54792,28.482368,28.390865,28.565544
49415527182759296,6908,64.85887727127862,21.142114709520815,5.4806013,6154,4,0,0,0.0007,0.0012,27.0,40.6,83.45507,82.92534,84.0638,83.61398,82.912315,84.29023
53112944270520832,48868,61.33523408583346,22.008324337407693,5.756682,nan,74,20,0,4e-06,5e-06,30.5,44.0,16.80418,16.794695,16.816374,16.805222,16.795046,16.81448
57111696260204800,6817,55.57896969853678,19.7001972609426,5.656581,6063,4,0,0,0.0068,0.001,87.0,4.2,158.38287,156.74937,160.46855,159.05452,157.0099,161.0505
58850711337487616,6715,46.85686063012037,17.88002747730079,6.096141,5961,4,0,0,0.00539,5e-05,-44.8,0.3,311.53412,305.98218,318.18192,311.35028,305.39008,317.28708
60494103263991168,6902,48.72528453666189,21.04411908941896,4.8649964,6148,4,0,0,0.0006,0.0012,69.0,45.0,84.066246,81.35562,87.46966,84.75147,82.26151,87.741135
61033001402831872,6882,50.68825067127788,20.742002979608355,4.7018433,6128,4,0,0,0.0006,0.0012,-40.0,45.0,103.18983,100.05897,105.779434,103.261314,101.22078,105.968414
61292039470080384,6910,50.30689150696158,21.146978154179607,5.3360972,6156,4,0,0,0.00425,0.0007,-1.8,4.7,160.79279,156.45279,166.05867,160.27966,155.17223,165.24327
64085383120724864,48739,58.02431902278248,22.67012330366188,7.4001384,nan,74,20,0,8e-06,9e-06,-19.7,24.1,29.759895,29.740314,29.77699,29.765705,29.752008,29.781431
64115585330656000,48738,57.51517110765979,22.591359710394954,7.165409,nan,74,20,0,2.7e-05,8e-06,8.8,8.3,43.01801,42.97195,43.05613,43.01507,42.96522,43.06088
64956127609464320,7018,56.45349543711508,23.14694333291917,6.895188,6264,4,0,0,0.0022,0.0012,-60.0,15.3,134.11125,133.34111,134.98305,134.30432,133.47507,135.10524
65008698009126528,7056,56.642591450519646,23.623821625731356,8.040022,6302,4,0,0,0.02164,0.00082,30.6,1.1,135.86635,133.7684,138.16194,136.37755,133.94662,138.49817
