#GID   RA    DEC     l     b     RP
1442578295230000000  200.13756  21.61921  354.75927  81.38410  9.17
1442583036880000000  200.15236  21.73875  355.42548  81.45190  12.39
1442634851360000000  199.97675  21.85439  355.30181  81.65097  10.28
3935994208570000000  190.28989  18.57169  286.94649  81.12274  11.41
3935997575830000000  190.58537  18.62152  288.63780  81.23974  9.68
3936002450620000000  190.41055  18.68726  287.47667  81.26360  12.40
3936071071310000000  191.68143  19.04211  295.06048  81.84175  11.81
3936093164620000000  191.07309  18.97623  291.17095  81.68434  12.19
3936093813160000000  190.73099  18.75162  289.33277  81.39770  11.91
3936096527580000000  190.83705  18.85830  289.83690  81.52363  12.17
3936104125380000000  190.87994  18.96818  289.94844  81.63961  12.24
3936119587260000000  191.26860  19.13782  292.23443  81.87707  12.21
3936120858570000000  191.36523  19.06019  292.96152  81.81599  10.81
3936121060430000000  191.35025  19.06658  292.85599  81.81997  9.92
3936122507840000000  191.55118  19.14096  294.10125  81.92284  10.36
3936125359700000000  191.32959  19.15580  292.61490  81.90469  9.66
3936130956040000000  191.14149  19.10416  291.44439  81.82221  11.47
3936134666890000000  191.01219  19.18642  290.48591  81.87903  11.41
3936141783650000000  191.15543  19.26661  291.31850  81.98423  12.49
3936146044260000000  191.25333  19.45846  291.71747  82.18994  12.44
3940083876430000000  198.16086  20.60454  340.65890  81.87476  12.26
3940084426190000000  198.20403  20.64331  341.05137  81.88261  8.87
3940085560060000000  198.31789  20.68337  341.82590  81.85180  11.62
3940324600760000000  200.02119  20.79197  350.36826  80.89499  12.23
3940330338840000000  199.94096  20.91922  350.59811  81.03821  12.26
3940409739900000000  199.23584  20.63010  346.17086  81.27316  10.93
3940415310470000000  199.62518  20.75690  348.49918  81.12531  10.35
3940418127970000000  199.39124  20.75375  347.42840  81.27029  12.33
3940418398550000000  199.46382  20.78061  347.87836  81.24479  10.99
3940427233300000000  199.08852  20.78094  346.12907  81.47738  12.30
3940428642050000000  199.20520  20.85210  346.99844  81.45937  11.84
3940428848210000000  199.14597  20.82810  346.61132  81.47788  12.45
3940435097380000000  199.26860  20.91794  347.59157  81.46903  11.71
3940442763900000000  198.68437  20.62233  343.46023  81.59490  12.10
3940450872800000000  198.86226  20.74241  344.86142  81.58411  12.10
3940451869230000000  198.72453  20.69415  343.96792  81.62783  12.07
3940452693870000000  198.74261  20.74678  344.28555  81.65825  11.73
3940457676030000000  198.41920  20.67283  342.31411  81.78645  11.62
3940465510050000000  198.67410  20.79252  344.13926  81.73407  9.21
3940465647490000000  198.69223  20.80827  344.29978  81.73568  12.35
3940471694800000000  198.64421  20.93232  344.60491  81.86021  11.55
3940474782880000000  199.01346  20.84528  346.05214  81.57190  11.91
3940477364160000000  199.02275  20.89962  346.33966  81.60740  12.48
3940477535960000000  199.01280  20.92477  346.40450  81.63248  12.36
3940484888940000000  199.27654  21.01030  348.04901  81.53239  12.04
3940496743050000000  198.77670  21.08060  345.94990  81.89445  12.09
3940503477560000000  199.03804  21.20238  347.80931  81.82427  10.14
3940511650880000000  199.77525  20.89510  349.77560  81.12928  11.36
3940516667400000000  199.64702  20.95893  349.50112  81.25834  12.10
3940518355330000000  199.89835  20.95452  350.57628  81.09130  12.33
3940520519990000000  200.00844  21.04150  351.44196  81.07971  12.32
3940531412030000000  199.41486  21.03988  348.82543  81.46627  10.86
3940533542330000000  199.50330  21.11295  349.56758  81.46234  12.20
3940549274790000000  200.00955  21.21608  352.26185  81.20026  11.79
3940552818140000000  200.04718  21.36016  353.10883  81.27332  12.41
3940562541950000000  199.89062  21.29056  352.11281  81.33187  11.42
3940562645030000000  199.88820  21.31380  352.21411  81.34955  11.78
3940566768200000000  199.82542  21.37063  352.21976  81.43108  12.02
3940567627190000000  199.72931  21.39199  351.90680  81.51053  12.01
3940585803490000000  199.25996  21.28832  349.27798  81.74595  11.18
3940586731200000000  199.35889  21.29277  349.76007  81.68520  11.78
3940591953880000000  199.59756  21.39740  351.35185  81.60238  11.29
3940592744160000000  199.45230  21.35375  350.48404  81.66770  10.84
3940594977540000000  199.48476  21.41440  350.92815  81.68916  12.18
3940598344800000000  199.07339  21.30111  348.45208  81.87456  12.07
3940599719190000000  199.27380  21.36363  349.70776  81.79125  11.45
3940600303300000000  199.20865  21.37743  349.46864  81.84334  11.46
3940600505160000000  199.19330  21.37516  349.38487  81.85161  11.35
3940610130190000000  199.26527  21.48050  350.24364  81.88030  11.86
3940624733070000000  199.78589  21.63083  353.34143  81.63550  12.09
3940627000820000000  199.90260  21.71785  354.28367  81.61315  11.17
3940627855520000000  199.80470  21.66239  353.58290  81.64383  11.31
3940631875600000000  199.82224  21.82387  354.49131  81.73927  11.52
3940638747550000000  199.49960  21.72981  352.58711  81.89800  11.32
3940643802730000000  199.84917  21.86848  354.83983  81.74982  12.02
3940649403370000000  199.66454  21.96838  354.57683  81.94457  11.28
3941630167740000000  194.83844  19.97715  317.57292  82.62284  9.73
3941702769870000000  195.72437  20.31136  324.56937  82.69682  10.83
3941704659650000000  195.82549  20.35185  325.38003  82.70088  10.75
3941720568210000000  195.20490  20.17521  320.58600  82.72323  12.01
3941725206780000000  195.04390  20.06870  319.21214  82.66268  12.27
3941735068020000000  195.19630  20.26039  320.71996  82.80711  12.17
3941738091680000000  195.04356  20.32546  319.76223  82.90998  12.19
3941743108200000000  195.55331  20.25056  323.22000  82.69409  10.76
3941748743200000000  195.46991  20.37368  322.95272  82.83602  12.47
3941751869930000000  195.72166  20.40738  324.81809  82.78758  10.98
3941754653070000000  195.59358  20.45045  324.03680  82.86974  11.64
3941756126250000000  195.61722  20.46121  324.23417  82.87224  11.46
3941767675410000000  195.47963  20.49467  323.34314  82.94732  10.82
3941773482210000000  195.46730  20.61388  323.58008  83.06357  11.94
3941773546630000000  195.50499  20.62194  323.87744  83.05924  12.26
3941902911050000000  192.53017  19.19382  300.67997  82.05981  11.91
3941904736410000000  192.33954  19.18539  299.38242  82.04280  9.91
3941904839490000000  192.37547  19.17618  299.63084  82.03552  9.19
3941910538910000000  192.76572  19.30553  302.28181  82.17681  12.44
3941976823140000000  193.50629  19.52605  307.53086  82.37468  12.32
3941983317130000000  193.64963  19.64717  308.63015  82.48392  11.86
3941998710290000000  193.30322  19.49583  306.07849  82.35673  11.12
3942003073980000000  193.24094  19.57580  305.66456  82.43945  11.49
3942003726810000000  193.18301  19.56730  305.24761  82.43323  12.31
3942019085620000000  192.87856  19.65332  303.07003  82.52505  10.51
3942021967540000000  193.35258  19.50348  306.43108  82.36183  12.44
3942026404240000000  193.28580  19.58141  305.98755  82.44304  11.96
3942041969200000000  193.25435  19.74743  305.82270  82.61031  11.96
3942054098190000000  193.19525  19.94605  305.45498  82.81122  12.31
3942063100440000000  191.85883  19.00495  296.26387  81.82483  10.69
