#GID   RA    DEC     l     b     RP
3950273600440000000  184.44484  18.78353  258.33011  78.62064  11.45
3948149030450000000  190.87105  19.30227  289.38443  81.96399  10.77
3956451996800000000  194.34618  22.46027  319.37517  85.14099  10.64
3949545311430000000  188.58231  21.20137  268.66934  82.90539  12.13
3942692089810000000  193.00078  20.52896  304.08320  83.39945  12.48
3955656019100000000  188.61703  21.90505  265.56407  83.50669  11.29
3951962789610000000  185.77544  20.03692  258.98062  80.39036  11.95
3942866637280000000  194.02611  21.41556  313.72241  84.18929  10.61
3948387766200000000  189.03011  19.97168  276.01320  82.03045  11.22
3944098395250000000  195.16597  21.13651  322.77119  83.64980  10.93
3954932849690000000  193.70149  22.25601  312.03433  85.06812  11.89
3946823813990000000  184.33128  17.98326  260.47034  77.94003  10.73
3952490593840000000  186.78461  20.96910  259.64149  81.71395  8.79
3942702706970000000  193.24724  20.74730  306.19139  83.60923  12.06
3955100215970000000  191.48018  22.10040  288.63536  84.81829  10.35
3949644370560000000  188.23808  21.69961  264.16786  83.13300  8.66
3955749164050000000  190.17029  22.52565  274.42012  84.79084  12.07
3952533268640000000  187.36690  21.40331  260.59309  82.39663  12.12
3955887393280000000  191.76004  22.50281  290.52274  85.26823  11.73
3954711053280000000  191.00832  21.68972  285.32036  84.30652  11.79
3947802654220000000  187.90747  18.47875  274.10805  80.22298  10.65
3926452264420000000  178.78174  17.35907  246.93444  73.73721  11.48
3947695310100000000  187.72806  17.88821  274.74541  79.61853  11.83
3954196172600000000  191.59833  19.85936  293.63277  82.63985  11.93
3948219334770000000  190.49174  19.61945  286.30494  82.18365  11.23
3948875193450000000  186.62331  19.53539  264.62378  80.49415  11.43
3925433566890000000  179.79797  16.54983  251.42447  73.93176  11.48
3948565784010000000  187.06926  18.80245  269.12064  80.11765  11.63
3942309008790000000  192.55922  20.26840  300.57495  83.13465  12.28
3942619556410000000  194.76712  21.33237  320.03879  83.94904  11.64
3956202064060000000  190.20500  23.08015  271.65717  85.29247  12.45
3940457676030000000  198.41920  20.67283  342.31411  81.78645  11.62
3972575613260000000  173.76079  16.01056  241.14092  69.09049  9.45
3925117118000000000  180.15356  15.65528  254.55007  73.54308  12.26
3955534901020000000  190.65321  22.12422  280.62235  84.60940  12.45
3941751869930000000  195.72166  20.40738  324.81809  82.78758  10.98
3926131932870000000  178.69035  16.60255  248.76378  73.18150  11.68
3943581590420000000  198.56891  21.68253  347.82177  82.47328  11.64
3947107728510000000  186.13577  18.46527  265.98309  79.35342  11.04
3955928801060000000  191.05595  22.54530  282.89329  85.13380  10.82
3926601527414968704  179.76852  17.35202  249.17726  74.45105  9.87
3925373544730000000  180.42894  16.47464  253.16159  74.31360  12.09
3955152683290000000  192.66293  22.23976  300.79803  85.10825  12.46
3954744592680000000  192.50705  21.05345  299.82682  83.91669  10.35
3943578876000000000  198.46275  21.57051  346.69100  82.45603  11.66
3955437422440000000  190.67908  21.62920  282.61489  84.15374  11.55
3947780148590000000  187.09894  18.19958  271.00357  79.61312  11.73
3942275615420000000  192.34393  20.02893  299.01840  82.88500  11.41
3954865809540000000  193.36322  21.46830  307.67511  84.32148  11.78
3952643425960000000  187.62286  21.82166  259.88708  82.86934  11.62
3943777784530000000  197.44122  21.82843  342.10319  83.25799  11.70
3942160265490000000  191.51625  19.67889  293.26151  82.44955  12.32
3942750737590000000  193.23315  21.16364  306.28184  84.02566  12.21
3947700708880000000  187.86642  17.90119  275.37316  79.68778  12.46
3942460402100000000  194.25240  20.51413  314.12494  83.26446  12.16
3940592744160000000  199.45230  21.35375  350.48404  81.66770  10.84
3940598344800000000  199.07339  21.30111  348.45208  81.87456  12.07
3952081609880000000  186.17758  20.58328  258.49298  81.04958  11.25
3947052856010000000  186.71483  18.48219  268.45651  79.66845  11.94
3942082444980000000  191.73763  19.22008  295.27436  82.02503  11.46
3954295506600000000  191.34618  20.58013  290.68387  83.30746  12.01
3954403400480000000  191.54272  20.92272  291.68942  83.67918  11.39
3944267724340000000  195.94945  22.18115  333.17271  84.31213  12.43
3942828601050000000  194.34177  21.59279  316.95284  84.30242  12.49
3942828223100000000  194.27957  21.55625  316.30327  84.27994  12.35
3947292137230000000  185.56290  18.60003  263.19469  79.14663  8.85
3973316306150000000  173.16840  16.04864  240.14985  68.64555  11.79
3948222663360000000  190.54509  19.73586  286.43097  82.30930  11.56
3949424360850000000  188.22710  20.73028  268.46568  82.32984  11.34
3955723325530000000  189.89764  22.36118  272.86443  84.52704  10.14
3955795931950000000  189.60686  22.77385  268.12362  84.74163  12.49
3926232980570000000  179.12151  16.83755  249.09870  73.64689  11.16
3950281400100000000  184.56752  18.84387  258.57270  78.74254  10.18
3949615744600000000  188.22232  21.52775  264.91586  82.98609  11.76
3972572761410000000  173.84973  15.99188  241.32259  69.14937  11.33
3958685139270000000  188.33504  22.35240  261.25218  83.70108  11.83
3949368152620000000  189.10039  21.16461  272.23497  83.12152  12.48
3973394298460000000  172.28996  16.31608  238.27352  68.09332  11.62
3947684388000000000  189.15128  18.70853  280.10276  80.91571  11.42
3954364470890000000  192.31638  20.84194  298.30583  83.69417  12.46
3955414916820000000  189.62936  21.72646  273.68203  83.85037  12.45
3955155878750000000  192.76253  22.26891  301.87290  85.13986  11.34
3954608184520000000  191.04074  21.14195  287.05514  83.78820  10.55
3943450203080000000  196.73454  21.68843  336.72437  83.51713  11.93
3952128270400000000  186.00064  20.71048  257.15698  81.03201  11.66
3943308159920000000  196.00450  21.03150  328.80917  83.26189  11.06
3948678002910000000  187.67645  19.04796  271.33138  80.62113  12.48
3956136540040000000  190.44592  22.84070  275.38023  85.18697  12.07
3944108295150000000  195.29697  21.33132  324.42258  83.79209  10.72
3952119302510000000  186.67152  21.00857  258.91132  81.67420  12.16
3925378801770000000  180.32584  16.57441  252.64214  74.31339  11.63
3948963910300000000  187.18407  19.73859  266.58808  80.96335  11.35
3947212521420000000  184.43826  18.13772  260.37912  78.12400  12.16
3944041912140000000  195.53589  21.06934  325.45289  83.46775  12.28
3948418689970000000  189.84464  19.91360  281.34721  82.27493  10.51
1442583036880000000  200.15236  21.73875  355.42548  81.45190  12.39
3942554371690000000  194.29060  20.54089  314.46785  83.28405  12.11
3954184249770000000  191.00716  19.81921  289.46623  82.49649  11.70
3955521706880000000  190.03488  22.04078  275.54333  84.30153  10.69
3954825612940000000  192.25447  21.56695  297.14453  84.41148  9.77
3947877352290000000  188.88820  18.86411  278.26459  80.96542  10.86
3949222948360000000  188.10175  20.43745  268.88847  82.01967  12.24
3955682269940000000  189.29832  22.20417  268.85760  84.10860  11.24
3947043853760000000  186.46133  18.32573  267.79898  79.40753  12.44
3956518757770000000  194.08725  22.75529  317.47775  85.48766  10.45
3936141783650000000  191.15543  19.26661  291.31850  81.98423  12.49
3948301591980000000  189.62154  19.56619  280.80849  81.87584  12.03
3942021967540000000  193.35258  19.50348  306.43108  82.36183  12.44
3925221017550000000  179.84392  15.83708  253.35142  73.46539  11.79
3950309953050000000  183.69484  18.82937  255.57463  78.17433  10.94
3948211913060000000  190.07516  19.66622  283.45821  82.11348  11.21
3942563618750000000  194.56822  20.74805  317.04154  83.43174  12.25
3948699477750000000  187.66389  19.21987  270.73863  80.76433  12.50
3944128116420000000  195.22871  21.57278  324.66398  84.04045  11.86
3952119504370000000  186.65903  21.01425  258.82503  81.67072  10.41
3948238473140000000  190.28308  19.85242  284.41157  82.35088  9.46
3926174985620000000  179.13809  16.65950  249.60750  73.54057  12.48
3944111112650000000  195.23802  21.33821  323.96741  83.81757  11.50
3955784902480000000  189.36665  22.52931  267.60450  84.41524  10.72
3954213769080000000  191.42332  20.01524  292.15264  82.76646  10.76
3948067808320000000  189.60675  18.99158  282.07808  81.33173  12.47
3955155019750000000  192.88593  22.24726  303.21961  85.11895  8.52
3954555575460000000  190.48114  20.98398  282.96861  83.48376  11.65
3954598735590000000  191.47507  21.13102  290.74610  83.87132  12.39
3943280431610000000  195.89963  20.81908  327.32980  83.10728  11.71
3942529636970000000  195.17595  20.78497  321.86929  83.31336  12.36
3946240969750000000  186.52159  17.72906  269.72758  78.93001  11.35
3948761703240000000  187.18109  19.44372  267.59791  80.71614  10.86
3925803075810000000  180.31715  16.71326  252.25157  74.40427  12.50
3952169983120000000  186.44914  21.09842  257.43895  81.60143  10.74
3926214739840000000  179.48094  17.04480  249.35777  74.04184  11.87
3948949788440000000  186.29753  19.95964  261.56588  80.64602  9.68
3935994208570000000  190.28989  18.57169  286.94649  81.12274  11.41
3948469026980000000  189.53358  20.06783  278.89736  82.31107  11.58
3952557870210000000  186.83688  21.43970  257.67200  82.09735  11.69
3954890930800000000  193.33429  21.74597  307.62379  84.60041  12.13
3955922203990000000  190.97514  22.45796  282.41275  85.02654  12.05
3948930306470000000  186.55142  19.79080  263.36455  80.65943  11.43
3949485903440000000  187.69337  20.87279  264.81392  82.16634  10.99
3952506261880000000  187.02443  21.31379  259.23096  82.12079  11.48
3947535404170000000  188.31076  17.95521  277.41477  79.91356  12.00
3944622248120000000  196.76021  22.48348  341.08855  84.16054  10.82
3947737989190000000  188.29013  18.28759  276.52161  80.20870  12.40
3972544547770000000  173.15970  15.60971  241.11836  68.38685  11.95
3943424158400000000  196.57054  21.54879  334.93326  83.47712  10.76
3944146709340000000  195.60942  21.68512  328.21869  84.00910  12.41
3947679302760000000  189.10612  18.63015  280.03206  80.82713  10.98
3944050639510000000  195.19397  21.06210  322.77679  83.57094  12.41
3947735480930000000  188.21313  18.18455  276.38493  80.08453  10.53
3948747547020000000  187.33986  19.34536  268.70832  80.71384  12.22
3955776926720000000  190.22482  22.86722  273.09889  85.11597  9.94
